page_id,book_id,catalog_generation,grade,viewer_page,selected_psm,recognized_words,mean_word_confidence,low_confidence_word_rate,ocr_class,front_matter_score,toc_navigation_score,bibliography_credits_score,primary_structure,classification_certainty,classification_rule,evidence_flags,classifier_version
LTMD-CN4-G1972-VP048,LTMD-CN4-G1972,1972,4,48,3,41,82.96,0.1220,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP049,LTMD-CN4-G1972,1972,4,49,3,5,91.74,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP050,LTMD-CN4-G1972,1972,4,50,3,99,88.77,0.0606,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP051,LTMD-CN4-G1972,1972,4,51,3,142,90.93,0.0423,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP052,LTMD-CN4-G1972,1972,4,52,3,97,87.62,0.0928,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP053,LTMD-CN4-G1972,1972,4,53,3,70,87.28,0.0714,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP054,LTMD-CN4-G1972,1972,4,54,3,116,90.26,0.0431,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP055,LTMD-CN4-G1972,1972,4,55,3,155,86.93,0.0968,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP056,LTMD-CN4-G1972,1972,4,56,3,106,88.19,0.0755,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP057,LTMD-CN4-G1972,1972,4,57,3,3,70.88,0.3333,text_detected,,,,unknown,low,CONSERVATIVE_UNKNOWN,,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP058,LTMD-CN4-G1972,1972,4,58,3,131,88.00,0.0840,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
