audit_version,book_id,viewer_key,catalog_generation,grade,viewer_page,source_image_index,is_terminal_declared_slot,url,http_status,content_type,reachable_image,error
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,82,82,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/082.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,83,83,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/083.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,84,84,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/084.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,85,85,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/085.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,86,86,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/086.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,87,87,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/087.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,88,88,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/088.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,89,89,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/089.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,90,90,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/090.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,91,91,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/091.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,92,92,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/092.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,93,93,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/093.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,94,94,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/094.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,95,95,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/095.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,96,96,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/096.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,97,97,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/097.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,98,98,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/098.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,99,99,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/099.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,100,100,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/100.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,101,101,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/101.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,102,102,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/102.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,103,103,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/103.jpg,206,image/jpeg,1,
