ocr_version,page_id,book_id,catalog_generation,grade,viewer_page,asset_status,source_bytes,source_sha256_verified,attempts,selected_psm,recognized_words,ocr_chars,mean_word_confidence,median_word_confidence,low_confidence_word_rate,ocr_class,ocr_status,error
CN46_OCR_0.1,LTMD-CN4-G1972-VP085,LTMD-CN4-G1972,1972,4,85,source_jpeg,56111,1,psm3:ok:126,3,126,678,90.61,96.11,0.0556,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP086,LTMD-CN4-G1972,1972,4,86,source_jpeg,70943,1,psm3:ok:195,3,195,894,92.69,96.01,0.0256,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP087,LTMD-CN4-G1972,1972,4,87,source_jpeg,35734,1,psm3:ok:5,3,5,26,95.37,96.54,0.0000,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP088,LTMD-CN4-G1972,1972,4,88,source_jpeg,45198,1,psm3:ok:0;psm11:ok:14;psm6:ok:18,6,18,53,41.17,29.63,0.7222,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP089,LTMD-CN4-G1972,1972,4,89,source_jpeg,47318,1,psm3:ok:52,3,52,229,86.95,93.95,0.0962,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP090,LTMD-CN4-G1972,1972,4,90,source_jpeg,45288,1,psm3:ok:35,3,35,162,83.39,91.77,0.0857,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP091,LTMD-CN4-G1972,1972,4,91,source_jpeg,28516,1,psm3:ok:24,3,24,94,80.63,93.43,0.1667,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP092,LTMD-CN4-G1972,1972,4,92,source_jpeg,51078,1,psm3:ok:54,3,54,270,85.47,95.40,0.1481,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP093,LTMD-CN4-G1972,1972,4,93,source_jpeg,51343,1,psm3:ok:26,3,26,135,80.17,92.83,0.1538,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP094,LTMD-CN4-G1972,1972,4,94,source_jpeg,37073,1,psm3:ok:87,3,87,372,87.08,93.96,0.0920,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP095,LTMD-CN4-G1972,1972,4,95,source_jpeg,40018,1,psm3:ok:135,3,135,611,85.32,94.25,0.0963,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP096,LTMD-CN4-G1972,1972,4,96,source_jpeg,39667,1,psm3:ok:68,3,68,326,89.38,95.69,0.0441,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP097,LTMD-CN4-G1972,1972,4,97,source_jpeg,39146,1,psm3:ok:8,3,8,30,83.82,96.20,0.1250,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP098,LTMD-CN4-G1972,1972,4,98,source_jpeg,38203,1,psm3:ok:73,3,73,345,88.46,95.01,0.0685,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP099,LTMD-CN4-G1972,1972,4,99,source_jpeg,45786,1,psm3:ok:70,3,70,298,88.18,96.12,0.0857,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP100,LTMD-CN4-G1972,1972,4,100,source_jpeg,40116,1,psm3:ok:73,3,73,356,88.18,95.36,0.0822,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP101,LTMD-CN4-G1972,1972,4,101,source_jpeg,43573,1,psm3:ok:48,3,48,210,92.81,95.09,0.0208,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP102,LTMD-CN4-G1972,1972,4,102,source_jpeg,32149,1,psm3:ok:7,3,7,32,81.05,94.43,0.1429,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP103,LTMD-CN4-G1972,1972,4,103,source_jpeg,31302,1,psm3:ok:23,3,23,86,83.12,94.59,0.1304,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP104,LTMD-CN4-G1972,1972,4,104,source_jpeg,36990,1,psm3:ok:28,3,28,628,87.15,94.29,0.0714,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP105,LTMD-CN4-G1972,1972,4,105,source_jpeg,35753,1,psm3:ok:9,3,9,43,70.19,92.23,0.3333,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP106,LTMD-CN4-G1972,1972,4,106,source_jpeg,44932,1,psm3:ok:68,3,68,366,89.86,96.23,0.0735,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP107,LTMD-CN4-G1972,1972,4,107,source_jpeg,46910,1,psm3:ok:93,3,93,477,92.75,95.61,0.0323,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP108,LTMD-CN4-G1972,1972,4,108,source_jpeg,48458,1,psm3:ok:168,3,168,722,89.30,96.28,0.0774,text_detected,ok,
