view_version,content_unit_id,text_sha256,occurrence_count,book_count,page_count,books,candidate_type_variants,cross_book_reuse,within_book_repeat
CN46_UNIQUE_CONTENT_0.1,CNU-24C734E02E878900B7DD,722c46a1f641ddc431e3122b33a8e0fe33e51777d7013563ead801332e56842f,1,1,1,LTMD-CN6-G1993-DH,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-8ABE3E3F865DB54A6769,722e291a2429572e7675ae7706ca07e1fa15e2bfbd8c841d2f968dbe60d492c1,1,1,1,LTMD-CN6-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-95F722D4B60779B43565,722f2a3c541c898d89ccb903e1fb6d8debfecd4e3fc727168ab8f574758a3161,1,1,1,LTMD-CN6-G1988,question_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-CE59CF4710ECC77ED312,7237f6c315a57ec5430a868a5f460f47c4826ff38ccf89c93d4e8bd3443fd5ff,1,1,1,LTMD-CN6-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-2303D9D1BE97CF5E2423,723b0d1029b1eaad88f4123831254d04fe61124eb48dae61e6de1ae70a8cf3e7,1,1,1,LTMD-CN4-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-11A84BC2CBDF7AC917A8,723b855a8f0cc5a655c173f31cec68b8166c0de810243f56665efdd92797ab9f,1,1,1,LTMD-CN6-G1972,question_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-A14D974FDFC1FFC68D09,723c0fdf62226712ab36d87d5c3ef519fef500bcc203e9f275d6f54f92e38d67,1,1,1,LTMD-CN6-G1993-CN,question_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-F4656B09151900B049AE,7240311f090fdb5cc659529508c0eca08aca6f9a7ee3d5938ae9cf7b042885d4,1,1,1,LTMD-CN6-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-B8992F1670A78B160504,72405d05f5d80cfac9114b58c210425be97a1f7ae3a18e4d35b75f910542780b,1,1,1,LTMD-CN6-G1993-DH,instruction_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-ACDD350A165099E97E24,7242d15ce4a7322769abd2b954a66e042bdec81f3e1a1f2f22aeb1ddfe853774,1,1,1,LTMD-CN4-G2014,question_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-9FD4DAB80C4DA286CF8A,72476b2a2c5271fe82b8f9606fbaaed27287edc1d13a2f1b329ce54863ebe982,1,1,1,LTMD-CN6-G1972,instruction_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-7ABDCC843ED2EF863381,724c7d71f81aa2b45bd0df62f5c854ef4c40d1c091a9020e4b0f4e36a3138e78,1,1,1,LTMD-CN6-G1972,question_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-D6B87AD0A1E6ECBFFAA7,724ef168243486548df0c722944b319ca1902adba4668f0cb4a173cf63f06c5f,1,1,1,LTMD-CN6-G1988,question_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-BF5D2F6C607C7DE49FA6,7250387df609840301ba222d028504ca845c4bb7a98f9093ec7a093573849b25,1,1,1,LTMD-CN6-G1993-DH,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-4F82E2A1FCA4977B8F3F,7258f18d94468afcfbf8a2477ff4537171422ef3d6bbf42d68d08e4c32a359d4,1,1,1,LTMD-CN6-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-82E3790D7537B06863CB,72591a9fbab3982b71d66db74ec3a41be6f2bda88ef9320c0f7bd4647ecc16aa,1,1,1,LTMD-CN6-G1993-DH,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-A98A5403FABC1C6F706D,725da2b1f20040c2a76c6a4df5a81ff7d6e9aaac991513235dfa7996f9d84f59,1,1,1,LTMD-CN4-G1993,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-2506E55A962703F23F35,7263ec8c2d08c2c0911277d71a91c27a0e80b51e6d4d0e8d49e6d348f266face,1,1,1,LTMD-CN4-G2014,instruction_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-61163EF0BFB53F589048,726ae44d914f75e276c515890c3c4b9e348f6423f72fc6a35ccc4025b2051dda,1,1,1,LTMD-CN6-G1972,question_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-AE001D2523C14459D6DF,727344b2cd10f13af58cc00642ead5146da0f0792eec557a057125f24744f260,1,1,1,LTMD-CN6-G1988,question_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-AA474358B234E0183F95,72741278e48d980f5700b155fa533a64a6e516840b3fddb5b1933920025f944c,2,2,2,LTMD-CN6-G1988;LTMD-CN6-G1993-CN,question_candidate,1,0
CN46_UNIQUE_CONTENT_0.1,CNU-51D66C78FD251DFE3A73,72747a5649c048bfc50ec023fad9b6b3eb98c05eed1df0e9544bbe612fd322b4,1,1,1,LTMD-CN6-G1993-DH,expository_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-F8EDAC929DBD80C82E56,7274b9aa3a41012ed1370d46691214c9cf4f0010679c869ce90c77f7f7d3f5a2,1,1,1,LTMD-CN6-G1993-DH,expository_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-D2B081FDF71C5B892732,7277d18ae8eacf6b35a48267b0f641fb31bc4b772b54213fb16cb87e7b4cc322,1,1,1,LTMD-CN6-G1972,instruction_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-C241626E484F07A9C6C5,72783feb3b075ba251aae9a519b6b39e18c053fc667213090e75497fd29377e4,1,1,1,LTMD-CN4-G1993,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-3A63E6C1C4F4BBD3AD25,727d4dad1430b50b4a5103cabb8335ff7b8d124e0cff7614acb09343a3687294,1,1,1,LTMD-CN6-G1988,activity_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-E90D8EDECD922A03ACED,72864711f76dedf9a49ef2218724364b70595fcec56661483528007c2cf99b8d,1,1,1,LTMD-CN6-G1993-CN,expository_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-0E87D9D13407F40655FE,728b8b6f368354881d4bdc83d8eb5612fcc6e3d02c6e6e225591a273ec886351,1,1,1,LTMD-CN4-G1993,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-1E084F3B09ACC643F84B,728bdc785eed7f16b760d76caa924df7315bf1ccc6b7330a722156e9a1cd7069,1,1,1,LTMD-CN4-G1993,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-8EFCD1FF2AD7FAE40E4B,7292fa50f54a2bc672e60e5d0e2bf66ed1767126141a044496340ee8ccc20fa7,1,1,1,LTMD-CN4-G2014,activity_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-A11AD91D1E80B41E3EC8,72947bd8ae69a857d8260d59a97080d66a21ed0246d263978c7cf2c382c190f2,1,1,1,LTMD-CN4-G1993,instruction_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-22AC7F864B79AD2A8FB3,729bb8441099f3050167b20c18f0dbaf9ef4bcefbeb43d19c09cf7f23ebc550c,1,1,1,LTMD-CN6-G1993-DH,instruction_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-A942B79AE04BE4F5F383,729f67c7a0a3e87aa37a866f8361f4a9d2d22683bd0ce27ef9bf9120a06c5c9d,1,1,1,LTMD-CN4-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-B39D2F18F4ADDEBF2AA6,72a010724c66fe436b083018ec71526cc48a3bc0738058e7ab53a273dfd358f4,1,1,1,LTMD-CN6-G1972,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-CC32ABABDA511934431E,72b289ec78e0a928c565480a435453e30acb92eddb3b78ff168b28737cf6a849,1,1,1,LTMD-CN4-G1988,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-E5F8E94FC2B6D401CFEF,72b61d676fd39f31d3a5c30e7f8ac53d11d8a0288305b41d89c2673c22d8b87c,1,1,1,LTMD-CN4-G2014,expository_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-AE8730304ED4E634499A,72b6622799d72e1be7d7800a7ace17e8966140e30dd291c5c1e4738d1ee52961,1,1,1,LTMD-CN6-G2014,expository_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-BA741F438DD4A3F63191,72b95c49cb5b36f36e7dee030a4a3b6e71744e399c7d999bc8abe5715f78d6ea,1,1,1,LTMD-CN6-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-A859FAECC7C352D42C00,72ba0b195b202eef7ea2c68fd74177f3b5c5a6420e191af21b0e83ddc036598a,1,1,1,LTMD-CN4-G2014,expository_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-CA93290DBE00593DD77C,72c5d60eecd805bf2eda2ce99a3fd0f9cf4edb467a7b4e4b3131e32ae7f5cc18,1,1,1,LTMD-CN6-G2014,instruction_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-8B19CA1E6C9E7AC5E051,72ca95335f70baeee240d351df4a013d8c9ca6a73cf4e5f5a790ccc03eefd662,1,1,1,LTMD-CN4-G1993,question_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-1BE6DA62543C78BE1F5B,72ca97f0c504a4294d4a6f6a84729ab03da05dbf443bff7fc561c51b4889afa1,2,2,2,LTMD-CN4-G1972;LTMD-CN4-G1988,instruction_candidate,1,0
CN46_UNIQUE_CONTENT_0.1,CNU-D2DF882D138AFB2D6808,72d3267ed8c9267e4351ace6c50d27b5ae617f90820cfffb9a85da6cfb9217d7,3,2,3,LTMD-CN4-G1972;LTMD-CN4-G1988,short_residual_candidate,1,1
CN46_UNIQUE_CONTENT_0.1,CNU-DDABBE5EDE5B018E471B,72d64fbbb4dbdcf0f003ed724d779495e8596b94bd6e2c13ee1c2c0919eeb188,1,1,1,LTMD-CN6-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-BC1639235F886F56249A,72dfcfb0c470ac255cde83fb8fe38de8a128188e03ea5ba5b2a93adbea1062fa,8,2,2,LTMD-CN4-G2014;LTMD-CN6-G1993-CN,short_residual_candidate,1,1
CN46_UNIQUE_CONTENT_0.1,CNU-72AFF1CE26E499230511,72dfd12b2c187420e04ae1759c7452fb281b6d43c5a9471e3ff6623bb4a05d47,1,1,1,LTMD-CN6-G1993-DH,expository_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-1790184A6126EA4BDF3E,72e20ac6a251a085933c60ff9805dae1c009cd5dfc0aa0a19ee01613decf686d,1,1,1,LTMD-CN4-G2014,question_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-59ED9EA4C405D93B5EDC,72e223da64c2f8d9e3cfb0b05a5e30b6b11a569bf3433f2a0fb35825e06422a7,2,2,2,LTMD-CN4-G1972;LTMD-CN4-G1988,expository_candidate,1,0
CN46_UNIQUE_CONTENT_0.1,CNU-BEB3FBE63ABA0F8D3BB6,72e487d21927eb38e85fc9a9565be1a73e9accf2bf06a17257cdc978e88934b0,1,1,1,LTMD-CN6-G2014,instruction_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-C1D3974E8A46E9B50ADB,72e5380872cb3f0ac001342fe7a9db464e65dc4fcca9fa2e19059cc905c399dd,1,1,1,LTMD-CN6-G1993-DH,instruction_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-B66D3C8F35481CBA9113,72ead0b670d9a59c43ed40474b3d93f2f72cd490d0d2686f2fff4b3f9482488a,1,1,1,LTMD-CN6-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-F9EEB5191248887C8352,72ede108e53e58ee65274f1b76fa5ee55b11a5a8505d19b4ab78b63d2e497d0c,1,1,1,LTMD-CN6-G1988,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-D5B428FC87111649AE21,72ef277b632c4f23855024ffa861322eb45b6f3fe4f01ccf264c7d61206156ce,1,1,1,LTMD-CN6-G1993-CN,expository_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-7A666E033AE0C4F9BCAD,72f06a7c49ad4c78549c2755858034cd54ec1f898d78f03556652df515c29721,1,1,1,LTMD-CN4-G2014,instruction_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-CA9FEE6E2073B5512775,72f2a0dfabf9e362d5ac487e91b271eb1c2a79c54d048f1be4c69664026b866a,1,1,1,LTMD-CN4-G1993,question_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-BA33CDC6EE24B4B01394,72f60634b414984096656375d0afaf3b9ae72dffce44c1026c32f254fe48d485,1,1,1,LTMD-CN4-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-E1C0A2E8C69FB106724D,72f6a4ff58ba043cbd8f245c6f1946d481f82eb26e50fe7289301b98b400f224,1,1,1,LTMD-CN6-G1993-CN,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-9567E6E8A2C9393E3C4B,72f726e70fa25f06f39b604840464885eaaa64a12210de62f480b80f967cde00,1,1,1,LTMD-CN6-G1972,instruction_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-3932A79FE5C42DE89FE3,72fb96736165e908881b0b3facfc7be8cea1f6f3b8780c142788a8f3d10550f2,1,1,1,LTMD-CN4-G2014,short_residual_candidate,0,0
