scanner_version,page_id,book_id,catalog_generation,grade,viewer_page,selected_psm,source_sha256_verified,front_zone,end_zone,front_matter_score,toc_navigation_score,bibliography_credits_score,matched_category_count,error
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP004,LTMD-CN6-G1972,1972,6,4,3,1,1,0,0,0,2,1,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP005,LTMD-CN6-G1972,1972,6,5,3,1,1,0,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP006,LTMD-CN6-G1972,1972,6,6,3,1,1,0,1,0,0,1,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP007,LTMD-CN6-G1972,1972,6,7,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP008,LTMD-CN6-G1972,1972,6,8,6,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP009,LTMD-CN6-G1972,1972,6,9,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP010,LTMD-CN6-G1972,1972,6,10,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP011,LTMD-CN6-G1972,1972,6,11,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP012,LTMD-CN6-G1972,1972,6,12,3,1,1,0,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP013,LTMD-CN6-G1972,1972,6,13,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP014,LTMD-CN6-G1972,1972,6,14,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP015,LTMD-CN6-G1972,1972,6,15,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP016,LTMD-CN6-G1972,1972,6,16,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP195,LTMD-CN6-G1972,1972,6,195,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP196,LTMD-CN6-G1972,1972,6,196,3,1,0,1,1,0,0,1,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP197,LTMD-CN6-G1972,1972,6,197,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP198,LTMD-CN6-G1972,1972,6,198,3,1,0,1,2,0,0,1,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP199,LTMD-CN6-G1972,1972,6,199,3,1,0,1,1,0,0,1,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP200,LTMD-CN6-G1972,1972,6,200,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP201,LTMD-CN6-G1972,1972,6,201,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP202,LTMD-CN6-G1972,1972,6,202,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP203,LTMD-CN6-G1972,1972,6,203,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP204,LTMD-CN6-G1972,1972,6,204,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP205,LTMD-CN6-G1972,1972,6,205,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP206,LTMD-CN6-G1972,1972,6,206,3,1,0,1,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP207,LTMD-CN6-G1972,1972,6,207,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP208,LTMD-CN6-G1972,1972,6,208,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP209,LTMD-CN6-G1972,1972,6,209,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP210,LTMD-CN6-G1972,1972,6,210,6,1,0,1,0,0,0,0,
