family,category,catalog_generation,stratum,n_fragments,A_count,A_rate,A_per_100,B_count,B_rate,B_per_100,consensus_positive_count,consensus_positive_rate,consensus_positive_per_100,method_sensitive_count,method_sensitive_rate,consensus_negative_count,consensus_negative_rate,comparison_version
position,observer,1988,textual_only_certain_nonheading,7,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,7,1.0,HISTCOMP_0.1
position,experimenter,1988,textual_only_certain_nonheading,7,0,0.0,0.0,3,0.42857143,42.8571,0,0.0,0.0,3,0.42857143,4,0.57142857,HISTCOMP_0.1
position,investigator,1988,textual_only_certain_nonheading,7,0,0.0,0.0,2,0.28571429,28.5714,0,0.0,0.0,2,0.28571429,5,0.71428571,HISTCOMP_0.1
position,reasoner,1988,textual_only_certain_nonheading,7,0,0.0,0.0,1,0.14285714,14.2857,0,0.0,0.0,1,0.14285714,6,0.85714286,HISTCOMP_0.1
position,collaborator,1988,textual_only_certain_nonheading,7,0,0.0,0.0,2,0.28571429,28.5714,0,0.0,0.0,2,0.28571429,5,0.71428571,HISTCOMP_0.1
position,decision_maker,1988,textual_only_certain_nonheading,7,0,0.0,0.0,1,0.14285714,14.2857,0,0.0,0.0,1,0.14285714,6,0.85714286,HISTCOMP_0.1
position,community_agent,1988,textual_only_certain_nonheading,7,0,0.0,0.0,1,0.14285714,14.2857,0,0.0,0.0,1,0.14285714,6,0.85714286,HISTCOMP_0.1
position,receiver,1988,mixed_text_image_certain_nonheading,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
position,instruction_follower,1988,mixed_text_image_certain_nonheading,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
position,observer,1988,mixed_text_image_certain_nonheading,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
position,experimenter,1988,mixed_text_image_certain_nonheading,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
position,investigator,1988,mixed_text_image_certain_nonheading,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
position,reasoner,1988,mixed_text_image_certain_nonheading,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
position,collaborator,1988,mixed_text_image_certain_nonheading,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
position,decision_maker,1988,mixed_text_image_certain_nonheading,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
position,community_agent,1988,mixed_text_image_certain_nonheading,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
position,receiver,1993,all_body_fragments,2513,472,0.18782332,18.7823,315,0.12534819,12.5348,106,0.04218066,4.2181,575,0.22881019,1832,0.72900915,HISTCOMP_0.1
position,instruction_follower,1993,all_body_fragments,2513,388,0.15439713,15.4397,92,0.03660963,3.661,29,0.01153999,1.154,422,0.16792678,2062,0.82053323,HISTCOMP_0.1
position,observer,1993,all_body_fragments,2513,50,0.01989654,1.9897,215,0.08555511,8.5555,24,0.00955034,0.955,217,0.08635097,2272,0.90409869,HISTCOMP_0.1
position,experimenter,1993,all_body_fragments,2513,2,0.00079586,0.0796,579,0.23040191,23.0402,2,0.00079586,0.0796,577,0.22960605,1934,0.76959809,HISTCOMP_0.1
position,investigator,1993,all_body_fragments,2513,18,0.00716275,0.7163,287,0.11420613,11.4206,13,0.0051731,0.5173,279,0.11102268,2221,0.88380422,HISTCOMP_0.1
position,reasoner,1993,all_body_fragments,2513,44,0.01750895,1.7509,126,0.05013928,5.0139,9,0.00358138,0.3581,152,0.06048548,2352,0.93593315,HISTCOMP_0.1
position,collaborator,1993,all_body_fragments,2513,23,0.00915241,0.9152,278,0.11062475,11.0625,20,0.00795862,0.7959,261,0.10385993,2232,0.88818146,HISTCOMP_0.1
position,decision_maker,1993,all_body_fragments,2513,10,0.00397931,0.3979,329,0.13091922,13.0919,6,0.00238758,0.2388,327,0.13012336,2180,0.86748906,HISTCOMP_0.1
position,community_agent,1993,all_body_fragments,2513,2,0.00079586,0.0796,217,0.08635097,8.6351,2,0.00079586,0.0796,215,0.08555511,2296,0.91364903,HISTCOMP_0.1
position,receiver,1993,nonheading,1337,472,0.35302917,35.3029,315,0.23560209,23.5602,106,0.07928197,7.9282,575,0.43006731,656,0.49065071,HISTCOMP_0.1
position,instruction_follower,1993,nonheading,1337,388,0.29020194,29.0202,92,0.06881077,6.8811,29,0.02169035,2.169,422,0.31563201,886,0.66267764,HISTCOMP_0.1
position,observer,1993,nonheading,1337,50,0.03739716,3.7397,215,0.16080778,16.0808,24,0.01795064,1.7951,217,0.16230366,1096,0.8197457,HISTCOMP_0.1
position,experimenter,1993,nonheading,1337,2,0.00149589,0.1496,579,0.43305909,43.3059,2,0.00149589,0.1496,577,0.4315632,758,0.56694091,HISTCOMP_0.1
position,investigator,1993,nonheading,1337,18,0.01346298,1.3463,287,0.21465969,21.466,13,0.00972326,0.9723,279,0.20867614,1045,0.7816006,HISTCOMP_0.1
position,reasoner,1993,nonheading,1337,44,0.0329095,3.2909,126,0.09424084,9.4241,9,0.00673149,0.6731,152,0.11368736,1176,0.87958115,HISTCOMP_0.1
position,collaborator,1993,nonheading,1337,23,0.01720269,1.7203,278,0.2079282,20.7928,20,0.01495886,1.4959,261,0.19521316,1056,0.78982797,HISTCOMP_0.1
position,decision_maker,1993,nonheading,1337,10,0.00747943,0.7479,329,0.2460733,24.6073,6,0.00448766,0.4488,327,0.24457741,1004,0.75093493,HISTCOMP_0.1
position,community_agent,1993,nonheading,1337,2,0.00149589,0.1496,217,0.16230366,16.2304,2,0.00149589,0.1496,215,0.16080778,1120,0.83769634,HISTCOMP_0.1
position,receiver,1993,certain_nonheading,15,6,0.4,40.0,1,0.06666667,6.6667,0,0.0,0.0,7,0.46666667,8,0.53333333,HISTCOMP_0.1
position,instruction_follower,1993,certain_nonheading,15,2,0.13333333,13.3333,1,0.06666667,6.6667,0,0.0,0.0,3,0.2,12,0.8,HISTCOMP_0.1
position,observer,1993,certain_nonheading,15,1,0.06666667,6.6667,2,0.13333333,13.3333,1,0.06666667,6.6667,1,0.06666667,13,0.86666667,HISTCOMP_0.1
position,experimenter,1993,certain_nonheading,15,0,0.0,0.0,9,0.6,60.0,0,0.0,0.0,9,0.6,6,0.4,HISTCOMP_0.1
position,investigator,1993,certain_nonheading,15,0,0.0,0.0,1,0.06666667,6.6667,0,0.0,0.0,1,0.06666667,14,0.93333333,HISTCOMP_0.1
position,reasoner,1993,certain_nonheading,15,1,0.06666667,6.6667,0,0.0,0.0,0,0.0,0.0,1,0.06666667,14,0.93333333,HISTCOMP_0.1
position,collaborator,1993,certain_nonheading,15,0,0.0,0.0,3,0.2,20.0,0,0.0,0.0,3,0.2,12,0.8,HISTCOMP_0.1
position,decision_maker,1993,certain_nonheading,15,0,0.0,0.0,2,0.13333333,13.3333,0,0.0,0.0,2,0.13333333,13,0.86666667,HISTCOMP_0.1
position,community_agent,1993,certain_nonheading,15,0,0.0,0.0,5,0.33333333,33.3333,0,0.0,0.0,5,0.33333333,10,0.66666667,HISTCOMP_0.1
position,receiver,1993,textual_only_certain_nonheading,13,6,0.46153846,46.1538,1,0.07692308,7.6923,0,0.0,0.0,7,0.53846154,6,0.46153846,HISTCOMP_0.1
position,instruction_follower,1993,textual_only_certain_nonheading,13,2,0.15384615,15.3846,1,0.07692308,7.6923,0,0.0,0.0,3,0.23076923,10,0.76923077,HISTCOMP_0.1
