domain,category,initial_generation,final_generation,stratum,specification,n_initial,n_final,initial_rate,final_rate,difference_pp,prevalence_ratio,direction,directionally_robust,method_sensitive_direction,comparison_version
action,infer,1972,1988,certain_nonheading,B,15,7,0.06666667,0.0,-6.6667,0.0,decrease,0,0,HISTCOMP_0.1
action,infer,1972,1988,certain_nonheading,consensus,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,infer,1988,1993,certain_nonheading,A,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,infer,1988,1993,certain_nonheading,B,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,infer,1988,1993,certain_nonheading,consensus,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,infer,1993,2014,certain_nonheading,A,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,infer,1993,2014,certain_nonheading,B,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,infer,1993,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,infer,1972,2014,certain_nonheading,A,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,infer,1972,2014,certain_nonheading,B,15,12,0.06666667,0.0,-6.6667,0.0,decrease,0,0,HISTCOMP_0.1
action,infer,1972,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,discuss,1972,1988,certain_nonheading,A,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,discuss,1972,1988,certain_nonheading,B,15,7,0.06666667,0.14285714,7.619,2.142857,increase,0,0,HISTCOMP_0.1
action,discuss,1972,1988,certain_nonheading,consensus,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,discuss,1988,1993,certain_nonheading,A,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,discuss,1988,1993,certain_nonheading,B,7,15,0.14285714,0.0,-14.2857,0.0,decrease,0,0,HISTCOMP_0.1
action,discuss,1988,1993,certain_nonheading,consensus,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,discuss,1993,2014,certain_nonheading,A,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,discuss,1993,2014,certain_nonheading,B,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,discuss,1993,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,discuss,1972,2014,certain_nonheading,A,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,discuss,1972,2014,certain_nonheading,B,15,12,0.06666667,0.0,-6.6667,0.0,decrease,0,0,HISTCOMP_0.1
action,discuss,1972,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,solve,1972,1988,certain_nonheading,A,15,7,0.06666667,0.0,-6.6667,0.0,decrease,0,1,HISTCOMP_0.1
action,solve,1972,1988,certain_nonheading,B,15,7,0.2,0.28571429,8.5714,1.428571,increase,0,1,HISTCOMP_0.1
action,solve,1972,1988,certain_nonheading,consensus,15,7,0.06666667,0.0,-6.6667,0.0,decrease,0,1,HISTCOMP_0.1
action,solve,1988,1993,certain_nonheading,A,7,15,0.0,0.06666667,6.6667,,increase,1,0,HISTCOMP_0.1
action,solve,1988,1993,certain_nonheading,B,7,15,0.28571429,0.33333333,4.7619,1.166667,increase,1,0,HISTCOMP_0.1
action,solve,1988,1993,certain_nonheading,consensus,7,15,0.0,0.06666667,6.6667,,increase,1,0,HISTCOMP_0.1
action,solve,1993,2014,certain_nonheading,A,15,12,0.06666667,0.0,-6.6667,0.0,decrease,1,0,HISTCOMP_0.1
action,solve,1993,2014,certain_nonheading,B,15,12,0.33333333,0.16666667,-16.6667,0.5,decrease,1,0,HISTCOMP_0.1
action,solve,1993,2014,certain_nonheading,consensus,15,12,0.06666667,0.0,-6.6667,0.0,decrease,1,0,HISTCOMP_0.1
action,solve,1972,2014,certain_nonheading,A,15,12,0.06666667,0.0,-6.6667,0.0,decrease,1,0,HISTCOMP_0.1
action,solve,1972,2014,certain_nonheading,B,15,12,0.2,0.16666667,-3.3333,0.833333,decrease,1,0,HISTCOMP_0.1
action,solve,1972,2014,certain_nonheading,consensus,15,12,0.06666667,0.0,-6.6667,0.0,decrease,1,0,HISTCOMP_0.1
action,create,1972,1988,certain_nonheading,A,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,create,1972,1988,certain_nonheading,B,15,7,0.13333333,0.14285714,0.9524,1.071429,increase,0,0,HISTCOMP_0.1
action,create,1972,1988,certain_nonheading,consensus,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,create,1988,1993,certain_nonheading,A,7,15,0.0,0.06666667,6.6667,,increase,1,0,HISTCOMP_0.1
action,create,1988,1993,certain_nonheading,B,7,15,0.14285714,0.26666667,12.381,1.866667,increase,1,0,HISTCOMP_0.1
action,create,1988,1993,certain_nonheading,consensus,7,15,0.0,0.06666667,6.6667,,increase,1,0,HISTCOMP_0.1
action,create,1993,2014,certain_nonheading,A,15,12,0.06666667,0.0,-6.6667,0.0,decrease,1,0,HISTCOMP_0.1
action,create,1993,2014,certain_nonheading,B,15,12,0.26666667,0.0,-26.6667,0.0,decrease,1,0,HISTCOMP_0.1
action,create,1993,2014,certain_nonheading,consensus,15,12,0.06666667,0.0,-6.6667,0.0,decrease,1,0,HISTCOMP_0.1
action,create,1972,2014,certain_nonheading,A,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,create,1972,2014,certain_nonheading,B,15,12,0.13333333,0.0,-13.3333,0.0,decrease,0,0,HISTCOMP_0.1
action,create,1972,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,decide,1972,1988,certain_nonheading,A,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,decide,1972,1988,certain_nonheading,B,15,7,0.0,0.28571429,28.5714,,increase,0,0,HISTCOMP_0.1
action,decide,1972,1988,certain_nonheading,consensus,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,decide,1988,1993,certain_nonheading,A,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,decide,1988,1993,certain_nonheading,B,7,15,0.28571429,0.06666667,-21.9048,0.233333,decrease,0,0,HISTCOMP_0.1
action,decide,1988,1993,certain_nonheading,consensus,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,decide,1993,2014,certain_nonheading,A,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,decide,1993,2014,certain_nonheading,B,15,12,0.06666667,0.16666667,10.0,2.5,increase,0,0,HISTCOMP_0.1
