anomaly_version,viewer_key,catalog_generation,grade_code,title_core,viewer_page,declared_positions,source_image_index,source_asset_url,probe_state,http_status,asset_status,is_final_declared_position,attempts,error
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI176,1993,3,Oaxaca. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI176/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI177,1993,3,Puebla. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI177/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI178,1993,3,Querétaro. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI178/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI179,1993,3,Quintana Roo. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI179/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI180,1993,3,San Luis Potosí. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI180/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI181,1993,3,Sinaloa. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI181/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI182,1993,3,Sonora. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI182/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI183,1993,3,Tabasco. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI183/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI184,1993,3,Tamaulipas. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI184/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI185,1993,3,Tlaxcala. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI185/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI186,1993,3,Veracruz. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI186/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI187,1993,3,Yucatán. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI187/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI188,1993,3,Zacatecas. Historia y Geografía,165,165,165,https://historico.conaliteg.gob.mx/c/H1993P3HI188/165.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H2008P1CI249,2008,1,EXPLORACION DE LA NATURALEZA Y LA SOCIEDAD,163,163,163,https://historico.conaliteg.gob.mx/c/H2008P1CI249/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H2011P1CI293,2011,1,EXPLORACIÓN DE LA NATURALEZA Y LA SOCIEDAD,170,170,170,https://historico.conaliteg.gob.mx/c/H2011P1CI293/170.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H2011P2CI300,2011,2,EXPLORACIÓN DE LA NATURALEZA Y LA SOCIEDAD,162,162,162,https://historico.conaliteg.gob.mx/c/H2011P2CI300/162.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H2014P1ENA,2014,1,Exploración de la Naturaleza y la Sociedad,114,169,114,https://historico.conaliteg.gob.mx/c/H2014P1ENA/114.jpg,http_404,404,internal_unserved,0,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H2014P2ENA,2014,2,Exploración de la Naturaleza y la Sociedad,162,162,162,https://historico.conaliteg.gob.mx/c/H2014P2ENA/162.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
