audit_version,viewer_key,book_id,catalog_generation,grade_code,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,source_bytes,unique_source_hashes,direct_asset_ready
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2014P6DMA,U1-H2014P6DMA,2014,6,186,185,1,0,0,65662860,185,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2014P6DMM,U1-H2014P6DMM,2014,6,258,257,1,0,0,114458504,257,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2018P1MAA,U1-H2018P1MAA,2018,1,226,225,1,0,0,41364207,225,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2018P1MAM,U1-H2018P1MAM,2018,1,178,177,1,0,0,49730568,177,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2018P2MAA,U1-H2018P2MAA,2018,2,226,225,1,0,0,48126526,225,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2018P2MAM,U1-H2018P2MAM,2018,2,178,177,1,0,0,68751152,177,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2018P3DMA,U1-H2018P3DMA,2018,3,226,225,1,0,0,55854989,225,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2018P4DMA,U1-H2018P4DMA,2018,4,258,257,1,0,0,39379216,257,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2018P5DMA,U1-H2018P5DMA,2018,5,226,225,1,0,0,72141189,225,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2018P6DMA,U1-H2018P6DMA,2018,6,186,185,1,0,0,60662489,185,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2019P1MAA,U1-H2019P1MAA,2019,1,226,225,1,0,0,18222508,225,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2019P1MAM,U1-H2019P1MAM,2019,1,178,177,1,0,0,26805195,177,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2019P2MAA,U1-H2019P2MAA,2019,2,226,225,1,0,0,22470551,225,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2019P2MAM,U1-H2019P2MAM,2019,2,178,177,1,0,0,28486110,177,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2019P3DMA,U1-H2019P3DMA,2019,3,226,225,1,0,0,17521305,225,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2019P4DMA,U1-H2019P4DMA,2019,4,258,257,1,0,0,20414742,257,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2019P5DMA,U1-H2019P5DMA,2019,5,226,225,1,0,0,19241217,225,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2019P6DMA,U1-H2019P6DMA,2019,6,186,185,1,0,0,15009223,185,1
