architecture_version,scope_version,viewer_key,catalog_generation,grade_code,title_core,html_status,x_js_discovered,x_js_url,x_js_status,ag_pages_signal,ag_clave_signal,claves_json_signal,magazine_js_signal,standard_dynamic_architecture,architecture_signature,source_url
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI241,1993,6,MONOGRAFÍA ESTATAL TABASCO,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI241.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI242,1993,6,MONOGRAFÍA ESTATAL TAMAULIPAS,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI242.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI243,1993,6,MONOGRAFÍA ESTATAL TLAXCALA,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI243.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI244,1993,6,MONOGRAFÍA ESTATAL VERACRUZ,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI244.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI245,1993,6,MONOGRAFÍA ESTATAL YUCATÁN,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI245.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI246,1993,6,MONOGRAFÍA ESTATAL ZACATECAS,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI246.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2008P4CI270,2008,4,CONOCE NUESTRA CONSTITUCIÓN,200,0,,0,0,0,0,0,0,html200|x0:0|agp0|agc0|clv0|mag0,https://historico.conaliteg.gob.mx/H2008P4CI270.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2008P5MA285,2008,5,MATEMAÁTICAS,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H2008P5MA285.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P1ED296,2011,1,EDUCACIÓN FÍSCIA,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H2011P1ED296.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P2ED303,2011,2,EDUCACIÓN FÍSCIA,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H2011P2ED303.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P3ED310,2011,3,EDUCACIÓN FÍSCIA,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H2011P3ED310.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P4CI316,2011,4,CONOCE NUESTRA CONSTITICIÓN,200,0,,0,0,0,0,0,0,html200|x0:0|agp0|agc0|clv0|mag0,https://historico.conaliteg.gob.mx/H2011P4CI316.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P4ED318,2011,4,EDUCACIÓN FÍSCIA,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H2011P4ED318.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P5ED328,2011,5,EDUCACIÓN FÍSCIA,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H2011P5ED328.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P6ED338,2011,6,EDUCACIÓN FÍSCIA,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H2011P6ED338.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P1CAM,2014,1,"Material de apoyo a la alfabetización inicial, Tiras recortables y cartel con el alfabeto",200,0,,0,0,0,0,0,0,html200|x0:0|agp0|agc0|clv0|mag0,https://historico.conaliteg.gob.mx/H2014P1CAM.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P1EAM,2014,1,Fichero didactico (incluye DVD),200,0,,0,0,0,0,0,0,html200|x0:0|agp0|agc0|clv0|mag0,https://historico.conaliteg.gob.mx/H2014P1EAM.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P2EAM,2014,2,Fichero didactico (incluye DVD),200,0,,0,0,0,0,0,0,html200|x0:0|agp0|agc0|clv0|mag0,https://historico.conaliteg.gob.mx/H2014P2EAM.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3AGS,2014,3,La entidad donde vivo Aguascalientes,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H2014P3AGS.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3BCN,2014,3,La entidad donde vivo Baja California Norte,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H2014P3BCN.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3BCS,2014,3,La entidad donde vivo Baja California Sur,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H2014P3BCS.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3CAM,2014,3,La entidad donde vivo Campeche,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H2014P3CAM.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3CDM,2014,3,La entidad donde vivo Ciudad de México,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H2014P3CDM.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3CHH,2014,3,La entidad donde vivo Chihuahua,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H2014P3CHH.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3CHP,2014,3,La entidad donde vivo Chiapas,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H2014P3CHP.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3COA,2014,3,La entidad donde vivo Coahuila,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H2014P3COA.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3COL,2014,3,La entidad donde vivo Colima,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H2014P3COL.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3DUR,2014,3,La entidad donde vivo Durango,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H2014P3DUR.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3GRO,2014,3,La entidad donde vivo Guerrero,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H2014P3GRO.htm
