analysis_version,viewer_a,viewer_b,generation_a,generation_b,grade_a,grade_b,same_generation,same_grade,unique_units_a,unique_units_b,shared_unique_units,jaccard,containment_a_in_b,containment_b_in_a
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4MA363,H1993P3HI184,1966,1993,4,3,0,0,2632,2233,97,0.020344,0.036854,0.043439
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4ES359,H1966P4MA363,1966,1966,4,4,1,1,2954,2632,97,0.017672,0.032837,0.036854
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P5MA371,H1966P6HI380,1966,1966,5,6,1,0,3313,2438,97,0.017156,0.029279,0.039787
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI167,H1993P3HI172,1993,1993,3,3,1,1,1758,1576,96,0.029648,0.054608,0.060914
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4HI017,H1993P3HI182,1960,1993,4,3,0,0,1993,1567,96,0.027714,0.048169,0.061264
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P3MA356,H1966P4HI361,1966,1966,3,4,1,0,1923,2067,96,0.024653,0.049922,0.046444
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4MA363,H1993P3HI168,1966,1993,4,3,0,0,2632,1739,96,0.022456,0.036474,0.055204
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P5MA371,H1966P5MA373,1966,1966,5,5,1,1,3313,2596,96,0.016515,0.028977,0.036980
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4MA019,H1993P3HI181,1960,1993,4,3,0,0,2413,1438,95,0.025293,0.039370,0.066064
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4MA362,H1966P4MA363,1966,1966,4,4,1,1,1474,2632,95,0.023685,0.064450,0.036094
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI177,H1993P3HI184,1993,1993,3,3,1,1,1929,2233,95,0.023359,0.049248,0.042544
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI164,H1993P3HI177,1993,1993,3,3,1,1,1489,1929,94,0.028279,0.063130,0.048730
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI164,H1993P3HI182,1993,1993,3,3,1,1,1489,1567,93,0.031387,0.062458,0.059349
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI174,H1993P3HI182,1993,1993,3,3,1,1,1669,1567,93,0.029590,0.055722,0.059349
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4HI361,H1993P3HI164,1966,1993,4,3,0,0,2067,1489,93,0.026855,0.044993,0.062458
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4HI361,H1993P3HI167,1966,1993,4,3,0,0,2067,1758,93,0.024920,0.044993,0.052901
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P3MA355,H1966P4HI361,1966,1966,3,4,1,0,2287,2067,93,0.021826,0.040665,0.044993
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P5MA021,H1966P5HI370,1960,1966,5,5,0,1,2501,2407,93,0.019315,0.037185,0.038637
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4MA019,H1966P5MA372,1960,1966,4,5,0,0,2413,2648,93,0.018720,0.038541,0.035121
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI164,H1993P3HI168,1993,1993,3,3,1,1,1489,1739,92,0.029337,0.061786,0.052904
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI174,H1993P3HI175,1993,1993,3,3,1,1,1669,1725,92,0.027862,0.055123,0.053333
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P2MA349,H1966P4MA363,1966,1966,2,4,1,0,1073,2632,92,0.025464,0.085741,0.034954
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P3MA011,H1960P4MA019,1960,1960,3,4,1,0,1716,2413,92,0.022789,0.053613,0.038127
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P6HI380,H1993P3HI177,1966,1993,6,3,0,0,2438,1929,92,0.021520,0.037736,0.047693
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4MA019,H1966P4HI361,1960,1966,4,4,0,1,2413,2067,92,0.020966,0.038127,0.044509
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4MA019,H1972P3CI071,1960,1972,4,3,0,0,2413,2068,92,0.020961,0.038127,0.044487
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4HI017,H1960P5MA021,1960,1960,4,5,1,0,1993,2501,92,0.020900,0.046162,0.036785
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P5MA371,H1966P5MA372,1966,1966,5,5,1,1,3313,2648,92,0.015676,0.027769,0.034743
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P3MA012,H1993P3HI181,1960,1993,3,3,0,1,2218,1438,91,0.025526,0.041028,0.063282
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4HI017,H1993P3HI168,1960,1993,4,3,0,0,1993,1739,91,0.024993,0.045660,0.052329
