normalization_version,viewer_key,catalog_generation,grade_code,viewer_title,title_core,title_core_normalized
CONALITEG_TITLECORE_0.2,H1966P5MA372,1966,5,MI LIBRO DE ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,mi libro de aritmetica y geometria. estudio de la naturaleza
CONALITEG_TITLECORE_0.2,H1966P5MA373,1966,5,"MI LIBRO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI LIBRO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA","mi libro, segunda parte. aritmetica y geometria. estudio de la naturaleza"
CONALITEG_TITLECORE_0.2,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA Grado 6° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,mi cuaderno de trabajo de estudio de la naturaleza
CONALITEG_TITLECORE_0.2,H1966P6CI375,1966,6,MI LIBRO DE ESTUDIO DE LA NATURALEZA Grado 6° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE ESTUDIO DE LA NATURALEZA,mi libro de estudio de la naturaleza
CONALITEG_TITLECORE_0.2,H1966P6ES376,1966,6,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL Grado 6° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,mi cuaderno de trabajo de lengua nacional
CONALITEG_TITLECORE_0.2,H1966P6ES377,1966,6,MI LIBRO DE LENGUA NACIONAL Grado 6° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE LENGUA NACIONAL,mi libro de lengua nacional
CONALITEG_TITLECORE_0.2,H1966P6GE378,1966,6,MI CUADERNO DE TRABAJO DE GEOGRAFÍA Grado 6° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,mi cuaderno de trabajo de geografia
CONALITEG_TITLECORE_0.2,H1966P6HI379,1966,6,MI CUADERNO DE TRABAJO DE HISTORIA Y CIVISMO Grado 6° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE HISTORIA Y CIVISMO,mi cuaderno de trabajo de historia y civismo
CONALITEG_TITLECORE_0.2,H1966P6HI380,1966,6,MI LIBRO DE HISTORIA Y CIVISMO Grado 6° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE HISTORIA Y CIVISMO,mi libro de historia y civismo
CONALITEG_TITLECORE_0.2,H1966P6MA381,1966,6,MI LIBRO DE ARITMÉTICA Y GEOMETRÍA Grado 6° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE ARITMÉTICA Y GEOMETRÍA,mi libro de aritmetica y geometria
CONALITEG_TITLECORE_0.2,H1966P6MA382,1966,6,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA. Grado 6° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA,mi cuaderno de trabajo. aritmetica y geometria
CONALITEG_TITLECORE_0.2,H1972P1CI058,1972,1,CIENCIAS NATURALES Grado 1° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,CIENCIAS NATURALES,ciencias naturales
CONALITEG_TITLECORE_0.2,H1972P1CI059,1972,1,"CIENCIAS NATURALES, CIENCIAS SOCIALES Grado 1° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.","CIENCIAS NATURALES, CIENCIAS SOCIALES","ciencias naturales, ciencias sociales"
