audit_version,viewer_key,catalog_generation,grade_code,title_core,viewer_ui,ag_clave,viewer_page,declared_positions,source_image_index,source_asset_url,is_final_declared_position,asset_status,probe_state,http_status,content_type,byte_size,sha256,attempts,error
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,38,187,38,https://historico.conaliteg.gob.mx/c/H1993P4HI198/038.jpg,0,source_jpeg,served_image,200,image/jpeg,82372,bcad1bf057631b275f9fe2484ecb01bd97f732b8e2ffa88d69d5c5f6b56530b2,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,39,187,39,https://historico.conaliteg.gob.mx/c/H1993P4HI198/039.jpg,0,source_jpeg,served_image,200,image/jpeg,89750,3619bee31d2c5cde990dd1677573c109b369e35886aaf695660e8f68ec578247,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,40,187,40,https://historico.conaliteg.gob.mx/c/H1993P4HI198/040.jpg,0,source_jpeg,served_image,200,image/jpeg,79880,78fd9a993eaeebe79f6f58c5af6463e43e7e57e70a981afd1fe6ef9a3370daef,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,41,187,41,https://historico.conaliteg.gob.mx/c/H1993P4HI198/041.jpg,0,source_jpeg,served_image,200,image/jpeg,81176,7ad0b3e798780482221c78d0877d24f1f6990d0cff529443caf13652cd25cc38,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,42,187,42,https://historico.conaliteg.gob.mx/c/H1993P4HI198/042.jpg,0,source_jpeg,served_image,200,image/jpeg,57729,890f4e7e5c545aa0bb26b0158dabd3104d363182e671deae26a16b8341888b01,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,43,187,43,https://historico.conaliteg.gob.mx/c/H1993P4HI198/043.jpg,0,source_jpeg,served_image,200,image/jpeg,56006,f00043b68db9b54ea2eedb48c43adcd72ee30d64fdde6b882497b867bcae9f8b,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,44,187,44,https://historico.conaliteg.gob.mx/c/H1993P4HI198/044.jpg,0,source_jpeg,served_image,200,image/jpeg,66607,384048120275a3054202b1738273a6f637fad5661122d3a871672beea07c3d95,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,45,187,45,https://historico.conaliteg.gob.mx/c/H1993P4HI198/045.jpg,0,source_jpeg,served_image,200,image/jpeg,80642,05118646a5a12ffce207329cd442f7987adaf5db4d0f771f635a61e2913dbc1d,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,46,187,46,https://historico.conaliteg.gob.mx/c/H1993P4HI198/046.jpg,0,source_jpeg,served_image,200,image/jpeg,103658,3c0a45881733f1f177986ff50144c4a3d9721a6900f405b7b3b01b99e7237171,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,47,187,47,https://historico.conaliteg.gob.mx/c/H1993P4HI198/047.jpg,0,source_jpeg,served_image,200,image/jpeg,79957,0e05360add7a78a57691354fe1dd1eaca44bb1034f2c2a422ee4b580e034dcc9,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,48,187,48,https://historico.conaliteg.gob.mx/c/H1993P4HI198/048.jpg,0,source_jpeg,served_image,200,image/jpeg,80677,211444cad6dae33ce5d12c878ff32d4ba5853f510dd7c785db47833ff4682da2,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,49,187,49,https://historico.conaliteg.gob.mx/c/H1993P4HI198/049.jpg,0,source_jpeg,served_image,200,image/jpeg,88109,06e87f945d6dc1cad8ea0567d2957248e88c0c7691891dd3b813e79e4de0d513,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,50,187,50,https://historico.conaliteg.gob.mx/c/H1993P4HI198/050.jpg,0,source_jpeg,served_image,200,image/jpeg,81916,db43bff91d101d47a6d73cf15ff5b2c6e0d68ed269301f4c641d9c1cbc0e3936,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,51,187,51,https://historico.conaliteg.gob.mx/c/H1993P4HI198/051.jpg,0,source_jpeg,served_image,200,image/jpeg,74280,4a786ad7df1cd65176c0928e53fa01e19b0b5963a858508fdf3c275677658a4b,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,52,187,52,https://historico.conaliteg.gob.mx/c/H1993P4HI198/052.jpg,0,source_jpeg,served_image,200,image/jpeg,75135,08851cbdee605b09b2cb5d6e0e0f7c0ae07e4e951b5c3bc3ef450f0f1bbf34bf,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,53,187,53,https://historico.conaliteg.gob.mx/c/H1993P4HI198/053.jpg,0,source_jpeg,served_image,200,image/jpeg,72602,7151ba475f42d118d1c448db96a5ff0ad50bfade5a6a5525cd54b37edf344e1e,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,54,187,54,https://historico.conaliteg.gob.mx/c/H1993P4HI198/054.jpg,0,source_jpeg,served_image,200,image/jpeg,85112,a483189c111e80a5c8accfced62bbb61ea6d02cd548e7750f756f9b20cf2a6e8,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,55,187,55,https://historico.conaliteg.gob.mx/c/H1993P4HI198/055.jpg,0,source_jpeg,served_image,200,image/jpeg,100838,53b53e44779cb8ebb8f62367575575fb1f1cc75af0837274d370aeecf9c8e4c7,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,56,187,56,https://historico.conaliteg.gob.mx/c/H1993P4HI198/056.jpg,0,source_jpeg,served_image,200,image/jpeg,90469,9e607daa9e92215bcdd24df4c0b8b54b053962ed65542a5f7f1c63e94d4485ba,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,57,187,57,https://historico.conaliteg.gob.mx/c/H1993P4HI198/057.jpg,0,source_jpeg,served_image,200,image/jpeg,100026,34e274cdc76ececafd2d4f53b4d27e3786271a551170c896d68e3c567d9c3bb8,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,58,187,58,https://historico.conaliteg.gob.mx/c/H1993P4HI198/058.jpg,0,source_jpeg,served_image,200,image/jpeg,91331,4caa016dd0855518e96f46690b69559c17e1ea0f3088f33ed23f2a973eb2de9e,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,59,187,59,https://historico.conaliteg.gob.mx/c/H1993P4HI198/059.jpg,0,source_jpeg,served_image,200,image/jpeg,65391,b5e78503a4a5af5a5f40fea1d564550f520cb56cc7ef718eae1bf7b6f33e923f,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,60,187,60,https://historico.conaliteg.gob.mx/c/H1993P4HI198/060.jpg,0,source_jpeg,served_image,200,image/jpeg,49019,67fbd478e867d354b2129e32737c1de066fdb0f6a86247281596a4e49cbff909,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,61,187,61,https://historico.conaliteg.gob.mx/c/H1993P4HI198/061.jpg,0,source_jpeg,served_image,200,image/jpeg,85427,54ea3dbab9d5df891f1f7bf4b8a8af3294a5f4ced9f58ff47a82b17a4507e075,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,62,187,62,https://historico.conaliteg.gob.mx/c/H1993P4HI198/062.jpg,0,source_jpeg,served_image,200,image/jpeg,101869,767e52c4f5ac2b3811062ebb39cc307dfa54ed2af408ae39904676d7b377a2c3,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,63,187,63,https://historico.conaliteg.gob.mx/c/H1993P4HI198/063.jpg,0,source_jpeg,served_image,200,image/jpeg,77519,c75b7819e91801ebf1799a4d73ea50bfbe594d981634d5709f6c37fc3bce533b,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,64,187,64,https://historico.conaliteg.gob.mx/c/H1993P4HI198/064.jpg,0,source_jpeg,served_image,200,image/jpeg,91937,5663bebc6aab7983bc25adf07c36297e44a79c95765211fce63b86b5fad51e4a,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,65,187,65,https://historico.conaliteg.gob.mx/c/H1993P4HI198/065.jpg,0,source_jpeg,served_image,200,image/jpeg,82207,707d33825f11a020f2d53c769d8a7db2d6faec620da201fb650be8173796b251,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,66,187,66,https://historico.conaliteg.gob.mx/c/H1993P4HI198/066.jpg,0,source_jpeg,served_image,200,image/jpeg,81796,dcb560e4c1b4fcf7445db7edcee4498557c5c8387ac1ffd402ef0db27e2e4ecf,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,67,187,67,https://historico.conaliteg.gob.mx/c/H1993P4HI198/067.jpg,0,source_jpeg,served_image,200,image/jpeg,71354,6f17be04bd2dbaeb2d96e31bdeb2a1e1bfdd8ce03c947708391cae3807b7a03e,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,68,187,68,https://historico.conaliteg.gob.mx/c/H1993P4HI198/068.jpg,0,source_jpeg,served_image,200,image/jpeg,76282,1317254aace74762c8d2ba9690342d315a6e5e70cd28b78c32666e0e3bf1a685,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,69,187,69,https://historico.conaliteg.gob.mx/c/H1993P4HI198/069.jpg,0,source_jpeg,served_image,200,image/jpeg,79413,7c94797faadd90fa335f09552bf58850dfd5758b7f57f8f4fd1650680ab4f212,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,70,187,70,https://historico.conaliteg.gob.mx/c/H1993P4HI198/070.jpg,0,source_jpeg,served_image,200,image/jpeg,93941,705d7d4b6042b1d1a8d708032c4c81685af0b6569aefb824263d9653628fb043,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,71,187,71,https://historico.conaliteg.gob.mx/c/H1993P4HI198/071.jpg,0,source_jpeg,served_image,200,image/jpeg,75949,8a39a79336ff21a5ff033bd788bb85c740b06d1b0f6e7e18af5b4cdb64c94eee,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,72,187,72,https://historico.conaliteg.gob.mx/c/H1993P4HI198/072.jpg,0,source_jpeg,served_image,200,image/jpeg,93608,fc5c965abcc85a529e7fbb3968f9074958d52b602fd5691ae2a8e66726ddf477,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,73,187,73,https://historico.conaliteg.gob.mx/c/H1993P4HI198/073.jpg,0,source_jpeg,served_image,200,image/jpeg,95641,d38f7702e3096bd6b98baa4ebd8cd963da0b7d874f3da25c29797f5f726d36c7,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,74,187,74,https://historico.conaliteg.gob.mx/c/H1993P4HI198/074.jpg,0,source_jpeg,served_image,200,image/jpeg,99666,d4d2e3ea22124bda69e118e686b44a3aec201f923071c67a46dd34ecf649c8c3,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,75,187,75,https://historico.conaliteg.gob.mx/c/H1993P4HI198/075.jpg,0,source_jpeg,served_image,200,image/jpeg,68785,3146fb7d3d2f5d86b7d9c9f3a2ca54eed5f56a2536d0fdc9d8711cf57da3cf1a,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,76,187,76,https://historico.conaliteg.gob.mx/c/H1993P4HI198/076.jpg,0,source_jpeg,served_image,200,image/jpeg,82400,ae7fda7bd037e71b2b096d2b70d36eb47680bf14eb7cc9f3a26cc9904e5f68de,1,
