coverage_version,wave_priority,wave_label,queue_status,operational_domain,viewer_key,catalog_generation,grade_code,title_core,asset_status,effective_fragseg_coverage,coverage_inherited_from_viewer,source_url
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H2011P4CI314,2011,4,CIENCIAS NATURALES,full_direct,1,,https://historico.conaliteg.gob.mx/H2011P4CI314.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2011P4MA324,2011,4,MATEMÁTICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2011P4MA324.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H2011P5CI325,2011,5,CIENCIAS NATURALES,full_direct,1,,https://historico.conaliteg.gob.mx/H2011P5CI325.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2011P5MA334,2011,5,MATEMÁTICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2011P5MA334.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H2011P6CI335,2011,6,CIENCIAS NATURALES,full_direct,1,,https://historico.conaliteg.gob.mx/H2011P6CI335.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2011P6MA343,2011,6,MATEMÁTICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2011P6MA343.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2014P1DMA,2014,1,Desafíos matemáticos. Libro para el alumno,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2014P1DMA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2014P1DMM,2014,1,Desafíos matemáticos. Libro para el maestro,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2014P1DMM.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2014P2DMA,2014,2,Desafíos matemáticos. Libro para el alumno,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2014P2DMA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2014P2DMM,2014,2,Desafíos matemáticos. Libro para el maestro,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2014P2DMM.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H2014P3CNA,2014,3,Ciencias Naturales,full_direct,1,,https://historico.conaliteg.gob.mx/H2014P3CNA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2014P3DMA,2014,3,Desafíos matemáticos. Libro para el alumno,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2014P3DMA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2014P3DMM,2014,3,Desafíos matemáticos. Libro para el maestro,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2014P3DMM.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H2014P4CNA,2014,4,Ciencias Naturales,full_direct,1,,https://historico.conaliteg.gob.mx/H2014P4CNA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2014P4DMA,2014,4,Desafíos matemáticos. Libro para el alumno,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2014P4DMA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2014P4DMM,2014,4,Desafíos matemáticos. Libro para el maestro,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2014P4DMM.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H2014P5CNA,2014,5,Ciencias Naturales,full_direct,1,,https://historico.conaliteg.gob.mx/H2014P5CNA.htm
