audit_version,viewer_key,catalog_generation,grade_code,viewer_page,source_sha256,candidate_kind,candidate_value,psm_support_count,psm_modes,isbn13_checksum_valid,support_class,promotable_under_0_1_rule
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P1FCA,2014,1,2,528155fb16c3121cd6ce0115a4e57f99e8cd12c030d7101a01a492f77c1e04c6,edition,fifth_edition:2014,4,3;4;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P1FCA,2014,1,2,528155fb16c3121cd6ce0115a4e57f99e8cd12c030d7101a01a492f77c1e04c6,edition,first_edition:2008,4,3;4;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P1FCA,2014,1,2,528155fb16c3121cd6ce0115a4e57f99e8cd12c030d7101a01a492f77c1e04c6,edition,fourth_edition:2013,4,3;4;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P1FCA,2014,1,2,528155fb16c3121cd6ce0115a4e57f99e8cd12c030d7101a01a492f77c1e04c6,edition,second_edition:2009,4,3;4;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P1FCA,2014,1,2,528155fb16c3121cd6ce0115a4e57f99e8cd12c030d7101a01a492f77c1e04c6,edition,third_edition:2010,4,3;4;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P2FCA,2014,2,2,7a65355bc8418931838ff1bdf019290b939c1d5be428bf527f557049a1ab912f,edition,fifth_edition:2014,3,3;4;11,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P2FCA,2014,2,2,7a65355bc8418931838ff1bdf019290b939c1d5be428bf527f557049a1ab912f,edition,fifth_edition:2018,1,6,,single_psm,0
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P2FCA,2014,2,2,7a65355bc8418931838ff1bdf019290b939c1d5be428bf527f557049a1ab912f,edition,first_edition:2008,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P2FCA,2014,2,2,7a65355bc8418931838ff1bdf019290b939c1d5be428bf527f557049a1ab912f,edition,fourth_edition:2013,4,3;4;6;11,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P2FCA,2014,2,2,7a65355bc8418931838ff1bdf019290b939c1d5be428bf527f557049a1ab912f,edition,second_edition:2009,4,3;4;6;11,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P2FCA,2014,2,2,7a65355bc8418931838ff1bdf019290b939c1d5be428bf527f557049a1ab912f,edition,third_edition:2010,4,3;4;6;11,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P2FCA,2014,2,2,7a65355bc8418931838ff1bdf019290b939c1d5be428bf527f557049a1ab912f,reprint,third_reprint:2016,1,6,,single_psm,0
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P3FCA,2014,3,2,1ccb3b40067163d4c7dbc2cc08e77654d871a510f591567bc3e9cf237e0b43b1,isbn,978-607-514-812-0,1,6,1,single_psm,0
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P3FCA,2014,3,2,1ccb3b40067163d4c7dbc2cc08e77654d871a510f591567bc3e9cf237e0b43b1,edition,first_edition:2008,3,3;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P3FCA,2014,3,2,1ccb3b40067163d4c7dbc2cc08e77654d871a510f591567bc3e9cf237e0b43b1,edition,fourth_edition:2014,4,3;4;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P3FCA,2014,3,2,1ccb3b40067163d4c7dbc2cc08e77654d871a510f591567bc3e9cf237e0b43b1,edition,second_edition:2009,3,3;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P3FCA,2014,3,2,1ccb3b40067163d4c7dbc2cc08e77654d871a510f591567bc3e9cf237e0b43b1,edition,third_edition:2010,3,3;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P3FCA,2014,3,2,1ccb3b40067163d4c7dbc2cc08e77654d871a510f591567bc3e9cf237e0b43b1,reprint,third_reprint:2017,3,3;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P4FCA,2014,4,2,2c388c68da843a2351e9843a7895b56d7fe795cb18cb17ecc04a298ab87f4024,school_cycle,2017-2018,3,3;4;11,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P4FCA,2014,4,2,2c388c68da843a2351e9843a7895b56d7fe795cb18cb17ecc04a298ab87f4024,edition,first_edition:2008,4,3;4;6;11,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P4FCA,2014,4,2,2c388c68da843a2351e9843a7895b56d7fe795cb18cb17ecc04a298ab87f4024,edition,fourth_edition:2014,4,3;4;6;11,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P4FCA,2014,4,2,2c388c68da843a2351e9843a7895b56d7fe795cb18cb17ecc04a298ab87f4024,edition,second_edition:2009,4,3;4;6;11,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P4FCA,2014,4,2,2c388c68da843a2351e9843a7895b56d7fe795cb18cb17ecc04a298ab87f4024,edition,third_edition:2010,4,3;4;6;11,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P4FCA,2014,4,2,2c388c68da843a2351e9843a7895b56d7fe795cb18cb17ecc04a298ab87f4024,reprint,third_reprint:2017,1,6,,single_psm,0
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P6FCA,2014,6,4,3b929a3d074a2d7dad03e641b41f2cd70de8d6b016d95a47dddf2736534d0687,isbn,978-607-514-208-3,4,3;4;11;12,0,invalid_isbn13_checksum,0
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P6FCA,2014,6,4,3b929a3d074a2d7dad03e641b41f2cd70de8d6b016d95a47dddf2736534d0687,isbn,978-607-514-808-3,1,6,1,single_psm,0
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P6FCA,2014,6,4,3b929a3d074a2d7dad03e641b41f2cd70de8d6b016d95a47dddf2736534d0687,edition,first_edition:2014,4,3;4;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P6FCA,2014,6,4,3b929a3d074a2d7dad03e641b41f2cd70de8d6b016d95a47dddf2736534d0687,edition,first_edition:2018,4,3;4;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2014P6FCA,2014,6,4,3b929a3d074a2d7dad03e641b41f2cd70de8d6b016d95a47dddf2736534d0687,reprint,third_reprint:2017,4,3;4;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P1FCA,2019,1,2,d1cbbc9d4f55cd0bd94b02e1eb8baf26a063708874092c24a1250deb50047257,edition,fifth_edition:2014,3,3;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P1FCA,2019,1,2,d1cbbc9d4f55cd0bd94b02e1eb8baf26a063708874092c24a1250deb50047257,edition,first_edition:2008,4,3;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P1FCA,2019,1,2,d1cbbc9d4f55cd0bd94b02e1eb8baf26a063708874092c24a1250deb50047257,edition,fourth_edition:2013,3,3;11;12,,strong_multipsm,1
