batch_plan_version,batch_id,batch_global_order,catalog_generation,batch_sequence,viewer_key,grade_code,title_core,declared_positions,batch_declared_positions,source_url
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2011-B01,10,2011,4,H2011P2ES305,2,ESPAÑOL LECTURAS,106,2016,https://historico.conaliteg.gob.mx/H2011P2ES305.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2011-B01,10,2011,5,H2011P3ES311,3,ESPAÑOL,162,2016,https://historico.conaliteg.gob.mx/H2011P3ES311.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2011-B01,10,2011,6,H2011P3ES312,3,ESPAÑOL LECTURAS,146,2016,https://historico.conaliteg.gob.mx/H2011P3ES312.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2011-B01,10,2011,7,H2011P4ES319,4,ESPAÑOL,162,2016,https://historico.conaliteg.gob.mx/H2011P4ES319.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2011-B01,10,2011,8,H2011P4ES320,4,ESPAÑOL LECTURAS,186,2016,https://historico.conaliteg.gob.mx/H2011P4ES320.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2011-B01,10,2011,9,H2011P5ES329,5,ESPAÑOL,178,2016,https://historico.conaliteg.gob.mx/H2011P5ES329.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2011-B01,10,2011,10,H2011P5ES330,5,ESPAÑOL LECTURAS,186,2016,https://historico.conaliteg.gob.mx/H2011P5ES330.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2011-B01,10,2011,11,H2011P6ES339,6,ESPAÑOL,186,2016,https://historico.conaliteg.gob.mx/H2011P6ES339.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2011-B01,10,2011,12,H2011P6ES340,6,ESPAÑOL LECTURAS,210,2016,https://historico.conaliteg.gob.mx/H2011P6ES340.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2014-B01,11,2014,1,H2014P1ESA,1,Español. Libro para el alumno,234,2375,https://historico.conaliteg.gob.mx/H2014P1ESA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2014-B01,11,2014,2,H2014P1ESM,1,Español. Libro para el maestro,282,2375,https://historico.conaliteg.gob.mx/H2014P1ESM.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2014-B01,11,2014,3,H2014P1LEA,1,Español. Libro de lectura,162,2375,https://historico.conaliteg.gob.mx/H2014P1LEA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2014-B01,11,2014,4,H2014P2ESA,2,Español. Libro para el alumno,257,2375,https://historico.conaliteg.gob.mx/H2014P2ESA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2014-B01,11,2014,5,H2014P2ESM,2,Español. Libro para el maestro,290,2375,https://historico.conaliteg.gob.mx/H2014P2ESM.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2014-B01,11,2014,6,H2014P2LEA,2,Español. Libro de lectura,162,2375,https://historico.conaliteg.gob.mx/H2014P2LEA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2014-B01,11,2014,7,H2014P3ESA,3,Español,162,2375,https://historico.conaliteg.gob.mx/H2014P3ESA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2014-B01,11,2014,8,H2014P3LEA,3,Español. Libro de lectura,162,2375,https://historico.conaliteg.gob.mx/H2014P3LEA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2014-B01,11,2014,9,H2014P4ESA,4,Español,162,2375,https://historico.conaliteg.gob.mx/H2014P4ESA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2014-B01,11,2014,10,H2014P4LEA,4,Español. Libro de lectura,162,2375,https://historico.conaliteg.gob.mx/H2014P4LEA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2014-B01,11,2014,11,H2014P5ESA,5,Español,178,2375,https://historico.conaliteg.gob.mx/H2014P5ESA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2014-B01,11,2014,12,H2014P5LEA,5,Español. Libro de lectura,162,2375,https://historico.conaliteg.gob.mx/H2014P5LEA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2014-B02,12,2014,1,H2014P6ESA,6,Español,186,348,https://historico.conaliteg.gob.mx/H2014P6ESA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2014-B02,12,2014,2,H2014P6LEA,6,Español. Libro de lectura,162,348,https://historico.conaliteg.gob.mx/H2014P6LEA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2018-B01,13,2018,1,H2018P1ESA,1,Lengua materna. Español,226,2420,https://historico.conaliteg.gob.mx/H2018P1ESA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2018-B01,13,2018,2,H2018P1ESM,1,Lengua materna. Español. Docente,178,2420,https://historico.conaliteg.gob.mx/H2018P1ESM.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2018-B01,13,2018,3,H2018P1LEA,1,Lengua materna. Español lecturas,130,2420,https://historico.conaliteg.gob.mx/H2018P1LEA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2018-B01,13,2018,4,H2018P2ESA,2,Lengua materna. Español,226,2420,https://historico.conaliteg.gob.mx/H2018P2ESA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2018-B01,13,2018,5,H2018P2ESM,2,Lengua materna. Español. Docente,178,2420,https://historico.conaliteg.gob.mx/H2018P2ESM.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2018-B01,13,2018,6,H2018P2LEA,2,Lengua materna. Español lecturas,146,2420,https://historico.conaliteg.gob.mx/H2018P2LEA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2018-B01,13,2018,7,H2018P3ESA,3,Español,162,2420,https://historico.conaliteg.gob.mx/H2018P3ESA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2018-B01,13,2018,8,H2018P3LEA,3,Español. Libro de lectura,162,2420,https://historico.conaliteg.gob.mx/H2018P3LEA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2018-B01,13,2018,9,H2018P4ESA,4,Español,162,2420,https://historico.conaliteg.gob.mx/H2018P4ESA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2018-B01,13,2018,10,H2018P4LEA,4,Español. Libro de lectura,162,2420,https://historico.conaliteg.gob.mx/H2018P4LEA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2018-B01,13,2018,11,H2018P5ESA,5,Español,178,2420,https://historico.conaliteg.gob.mx/H2018P5ESA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2018-B01,13,2018,12,H2018P5LEA,5,Español. Libro de lectura,162,2420,https://historico.conaliteg.gob.mx/H2018P5LEA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2018-B01,13,2018,13,H2018P6ESA,6,Español,186,2420,https://historico.conaliteg.gob.mx/H2018P6ESA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2018-B01,13,2018,14,H2018P6LEA,6,Español. Libro de lectura,162,2420,https://historico.conaliteg.gob.mx/H2018P6LEA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2019-B01,14,2019,1,H2019P1ESA,1,Lengua materna. Español,226,2420,https://historico.conaliteg.gob.mx/H2019P1ESA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2019-B01,14,2019,2,H2019P1ESM,1,Lengua materna. Español. Docente,178,2420,https://historico.conaliteg.gob.mx/H2019P1ESM.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2019-B01,14,2019,3,H2019P1LEA,1,Lengua materna. Español lecturas,130,2420,https://historico.conaliteg.gob.mx/H2019P1LEA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2019-B01,14,2019,4,H2019P2ESA,2,Lengua materna. Español,226,2420,https://historico.conaliteg.gob.mx/H2019P2ESA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2019-B01,14,2019,5,H2019P2ESM,2,Lengua materna. Español. Docente,178,2420,https://historico.conaliteg.gob.mx/H2019P2ESM.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2019-B01,14,2019,6,H2019P2LEA,2,Lengua materna. Español lecturas,146,2420,https://historico.conaliteg.gob.mx/H2019P2LEA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2019-B01,14,2019,7,H2019P3ESA,3,Español,162,2420,https://historico.conaliteg.gob.mx/H2019P3ESA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2019-B01,14,2019,8,H2019P3LEA,3,Español. Libro de lectura,162,2420,https://historico.conaliteg.gob.mx/H2019P3LEA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2019-B01,14,2019,9,H2019P4ESA,4,Español,162,2420,https://historico.conaliteg.gob.mx/H2019P4ESA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2019-B01,14,2019,10,H2019P4LEA,4,Español. Libro de lectura,162,2420,https://historico.conaliteg.gob.mx/H2019P4LEA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2019-B01,14,2019,11,H2019P5ESA,5,Español,178,2420,https://historico.conaliteg.gob.mx/H2019P5ESA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2019-B01,14,2019,12,H2019P5LEA,5,Español. Libro de lectura,162,2420,https://historico.conaliteg.gob.mx/H2019P5LEA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2019-B01,14,2019,13,H2019P6ESA,6,Español,186,2420,https://historico.conaliteg.gob.mx/H2019P6ESA.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2019-B01,14,2019,14,H2019P6LEA,6,Español. Libro de lectura,162,2420,https://historico.conaliteg.gob.mx/H2019P6LEA.htm
