inventory_version,viewer_key,catalog_generation,grade_code,title_core,ag_clave,declared_positions,standard_dynamic_architecture,config_present,config_ag_clave_exact,direct_asset_probe_ready,source_url
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI176,1993,3,Oaxaca. Historia y Geografía,H1993P3HI176,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI176.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI177,1993,3,Puebla. Historia y Geografía,H1993P3HI177,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI177.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI178,1993,3,Querétaro. Historia y Geografía,H1993P3HI178,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI178.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI179,1993,3,Quintana Roo. Historia y Geografía,H1993P3HI179,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI179.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI180,1993,3,San Luis Potosí. Historia y Geografía,H1993P3HI180,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI180.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI181,1993,3,Sinaloa. Historia y Geografía,H1993P3HI181,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI181.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI182,1993,3,Sonora. Historia y Geografía,H1993P3HI182,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI182.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI183,1993,3,Tabasco. Historia y Geografía,H1993P3HI183,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI183.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI184,1993,3,Tamaulipas. Historia y Geografía,H1993P3HI184,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI184.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI185,1993,3,Tlaxcala. Historia y Geografía,H1993P3HI185,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI185.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI186,1993,3,Veracruz. Historia y Geografía,H1993P3HI186,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI186.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI187,1993,3,Yucatán. Historia y Geografía,H1993P3HI187,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI187.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI188,1993,3,Zacatecas. Historia y Geografía,H1993P3HI188,165,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI188.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H2008P1CI249,2008,1,EXPLORACION DE LA NATURALEZA Y LA SOCIEDAD,H2008P1CI249,163,1,1,1,1,https://historico.conaliteg.gob.mx/H2008P1CI249.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H2011P1CI293,2011,1,EXPLORACIÓN DE LA NATURALEZA Y LA SOCIEDAD,H2011P1CI293,170,1,1,1,1,https://historico.conaliteg.gob.mx/H2011P1CI293.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H2011P2CI300,2011,2,EXPLORACIÓN DE LA NATURALEZA Y LA SOCIEDAD,H2011P2CI300,162,1,1,1,1,https://historico.conaliteg.gob.mx/H2011P2CI300.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H2014P2ENA,2014,2,Exploración de la Naturaleza y la Sociedad,H2014P2ENA,162,1,1,1,1,https://historico.conaliteg.gob.mx/H2014P2ENA.htm
