ocr_version,page_id,book_id,catalog_generation,grade,viewer_page,asset_status,source_bytes,source_sha256_verified,attempts,selected_psm,recognized_words,ocr_chars,mean_word_confidence,median_word_confidence,low_confidence_word_rate,ocr_class,ocr_status,error
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP062,U1-H1966P6CI374,1966,6,62,source_jpeg,39022,1,psm3:ok:22,3,22,128,55.55,60.95,0.4545,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP063,U1-H1966P6CI374,1966,6,63,source_jpeg,62206,1,psm3:ok:243,3,243,1066,90.65,95.57,0.0494,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP064,U1-H1966P6CI374,1966,6,64,source_jpeg,59108,1,psm3:ok:257,3,257,1219,91.03,95.55,0.0467,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP065,U1-H1966P6CI374,1966,6,65,source_jpeg,68437,1,psm3:ok:267,3,267,1281,91.84,96.03,0.0337,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP066,U1-H1966P6CI374,1966,6,66,source_jpeg,70064,1,psm3:ok:325,3,325,1428,90.54,95.39,0.0400,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP067,U1-H1966P6CI374,1966,6,67,source_jpeg,59721,1,psm3:ok:244,3,244,1031,89.27,95.40,0.0615,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP068,U1-H1966P6CI374,1966,6,68,source_jpeg,44012,1,psm3:ok:100,3,100,470,86.97,94.69,0.1000,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP069,U1-H1966P6CI374,1966,6,69,source_jpeg,52764,1,psm3:ok:135,3,135,593,86.42,95.31,0.0963,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP070,U1-H1966P6CI374,1966,6,70,source_jpeg,68340,1,psm3:ok:222,3,222,1098,92.00,95.51,0.0180,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP071,U1-H1966P6CI374,1966,6,71,source_jpeg,74742,1,psm3:ok:350,3,350,1676,90.81,95.77,0.0457,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP072,U1-H1966P6CI374,1966,6,72,source_jpeg,53213,1,psm3:ok:231,3,231,1010,79.97,93.23,0.1948,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP073,U1-H1966P6CI374,1966,6,73,source_jpeg,30601,1,psm3:ok:13,3,13,95,90.61,95.14,0.0769,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP074,U1-H1966P6CI374,1966,6,74,source_jpeg,62779,1,psm3:ok:301,3,301,1456,91.54,95.68,0.0332,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP075,U1-H1966P6CI374,1966,6,75,source_jpeg,51305,1,psm3:ok:184,3,184,768,89.21,94.85,0.0598,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP076,U1-H1966P6CI374,1966,6,76,source_jpeg,40041,1,psm3:ok:142,3,142,596,89.96,95.78,0.0423,text_detected,ok,
