coverage_version,viewer_key,catalog_generation,grade_code,tail_code,source_url,viewer_title,title_core,title_core_normalized,operational_domain,domain_signals,book_id,cataloged,title_normalized,asset_status,asset_resolved_full,asset_resolved_partial,page_manifest_ready,ocr_ready,pagestruct_ready,fragseg_materialized,effective_fragseg_coverage,coverage_inherited_from_viewer,fragment_count_materialized,dependence_audited,semantic_ready,wave_priority,wave_label,queue_status
LTMD_U1_COVERAGE_0.1,H1966P4ES359,1966,4,ES359,https://historico.conaliteg.gob.mx/H1966P4ES359.htm,"MI CUADERNO DE TRABAJO DE LENGUA NACIONAL, HISTORIA Y CIVISMO Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI CUADERNO DE TRABAJO DE LENGUA NACIONAL, HISTORIA Y CIVISMO","mi cuaderno de trabajo de lengua nacional, historia y civismo",integrados_multiarea,espanol_lengua;historia;civica_etica,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,9,U1-W9-integrados_multiarea,queued
LTMD_U1_COVERAGE_0.1,H1966P4GE360,1966,4,GE360,https://historico.conaliteg.gob.mx/H1966P4GE360.htm,MI CUADERNO DE TRABAJO DE GEOGRAFÍA Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,mi cuaderno de trabajo de geografia,geografia_atlas,geografia_atlas,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,5,U1-W5-geografia_atlas,queued
LTMD_U1_COVERAGE_0.1,H1966P4GE364,1966,4,GE364,https://historico.conaliteg.gob.mx/H1966P4GE364.htm,MI LIBRO DE GEOGRAFÍA Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE GEOGRAFÍA,mi libro de geografia,geografia_atlas,geografia_atlas,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,5,U1-W5-geografia_atlas,queued
LTMD_U1_COVERAGE_0.1,H1966P4HI361,1966,4,HI361,https://historico.conaliteg.gob.mx/H1966P4HI361.htm,MI LIBRO DE HISTORIA Y CIVISMO Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE HISTORIA Y CIVISMO,mi libro de historia y civismo,integrados_multiarea,historia;civica_etica,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,9,U1-W9-integrados_multiarea,queued
LTMD_U1_COVERAGE_0.1,H1966P4MA362,1966,4,MA362,https://historico.conaliteg.gob.mx/H1966P4MA362.htm,"MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA","mi cuaderno de trabajo de aritmetica y geometria, estudio de la naturaleza",integrados_multiarea,ciencias_naturales;matematicas;civica_etica,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,9,U1-W9-integrados_multiarea,queued
LTMD_U1_COVERAGE_0.1,H1966P4MA363,1966,4,MA363,https://historico.conaliteg.gob.mx/H1966P4MA363.htm,"MI LIBRO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI LIBRO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA","mi libro de aritmetica y geometria, estudio de la naturaleza",integrados_multiarea,ciencias_naturales;matematicas;civica_etica,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,9,U1-W9-integrados_multiarea,queued
LTMD_U1_COVERAGE_0.1,H1966P5ES365,1966,5,ES365,https://historico.conaliteg.gob.mx/H1966P5ES365.htm,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,mi cuaderno de trabajo de lengua nacional,espanol_lengua,espanol_lengua,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,3,U1-W3-espanol_lengua,queued
LTMD_U1_COVERAGE_0.1,H1966P5ES366,1966,5,ES366,https://historico.conaliteg.gob.mx/H1966P5ES366.htm,MI LIBRO DE LENGUA NACIONAL Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE LENGUA NACIONAL,mi libro de lengua nacional,espanol_lengua,espanol_lengua,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,3,U1-W3-espanol_lengua,queued
LTMD_U1_COVERAGE_0.1,H1966P5GE367,1966,5,GE367,https://historico.conaliteg.gob.mx/H1966P5GE367.htm,MI CUADERNO DE TRABAJO DE GEOGRAFÍA Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,mi cuaderno de trabajo de geografia,geografia_atlas,geografia_atlas,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,5,U1-W5-geografia_atlas,queued
LTMD_U1_COVERAGE_0.1,H1966P5GE368,1966,5,GE368,https://historico.conaliteg.gob.mx/H1966P5GE368.htm,MI LIBRO DE GEOGRAFÍA Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE GEOGRAFÍA,mi libro de geografia,geografia_atlas,geografia_atlas,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,5,U1-W5-geografia_atlas,queued
