analysis_version,target_viewer,candidate_viewer,viewer_page,target_sha256,candidate_sha256,target_byte_size,candidate_byte_size
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,52,2bf5394db193b03c05d7c7d1e4d28faff40c4945141f31e6b654918d69b916d4,208fa8638f91561777b3c3634d7816733dff74cf2235b17b01acbd9ef460aa0e,374476,238896
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,53,2b43f480535be6697dfe14b5b87503d0705950efb5b85b194b54e7f91b6d958b,aac17b3e93f4ddb921413c2431c6e1cefe822ff8699d098353e70d631709f564,239207,265020
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,54,2628987225923f8a6e249dba6416fddd901b42355fb79fb628cc79ca7ffc8e5a,de61c7ad23e5c7b8ac39719dd0ffaf9f6099c7577441006eacf5ea18e7323995,464187,256633
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,55,2a42ce23cb3d6d1d967d7c35eae88e28dc36bc8688aaee64550ac26acf78eb90,c7c5b88b377ecab84a025bce471f51bb6be04af913b1c6724fd4be77df6ae8ea,435595,285298
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,56,45bb422905d279b459b6dc29fdb32b5766aaae00626e4765a1cce266efac3eb1,714b7b3f342398dacca91779b72a3a335ddc232ed73373b1cad6f30a83216e4c,361897,242784
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,57,0d05bda8204f3eb86df01787d1a88c9d2789f72f3e5e5dd592942db8fce64832,6ec970c6cc722d184208ea66b44c65b72414ee21403ffd01d843e114c7dc953c,400733,196501
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,58,e25a3abb2d34ee9f676a3d8b3bd162a97a2906fb369c8eb5512b5d6dc8d082b7,8ed5ce7fdab7845289411e8c6d430170dc7e6144cab15c6d0c00d3fcacdee801,529661,217108
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,59,42c0e95be9d3122c715cc64cb7807278d13b3f3dba37b342172d6420dcece1ec,b4e77f498519206ad278fc1581103239676437cd25144de57d6bd43fdb0795a1,536384,248103
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,60,39fa9aafe0a15283b44c2e0d2881f067cd98818a52cfd28298e0ce311b8c7453,4a97fe78143565e80747733560eeefa70c4b4baab25dff29f31448c1cafee65f,212313,247917
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,61,054a3dc24e5df78e2275bc6f654824a3a45f72f24751c61b02130910d9da378a,867895311ae9daa0d9d6a29225b71812a5ac718a7d20f86190512b85f425e511,412958,302641
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,62,072715c014db27067e83e7a3f52a52f6057d07b08cc5bd257a9eb0f57e38eef9,e180fe69e9b64026f36942cb7887be73d7011fb9b47ed17dccd59aa8103a6948,430012,277921
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,63,0d8f3b93931807ad69c39aa359624f11bef5050b0abaca3425209098e2f6921c,312936333e7a45afd27b93f2b1cf14e57b15c584c199aef81c33021e3c217ac2,634955,269911
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,64,7fa581ff56c09444de4f271d4bc284f10648611bb8a4be5b51384cd1ba412f24,f21066ffd71c1791c2e4f4e850fa3a60891c7a347ecba302d89f0e3550d5d058,392600,245796
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,65,af879f107d0da9301b05f9ba9bc6d6cb37845318d0723752b8b657c569a8ac10,9226b18dfb2170c5bec0e06caf519cadd7e786838a7b46a46907a0646bfde14b,567275,242841
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,66,f8627ab1b98bf886f842ffa03aecf0db446683ae9cf1009901281d7ff5ce01d4,595eeb1a45122549dda7c9f84773f775ed74662ba4a7f02b48d4fef615810417,533042,237412
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,67,5dee378ca924c6dc7231fbe2dbae0b19de272a3e38e420d4c3f02361641f8277,a051e3ee4a43c4b7176fc69b9215053ccf350d8c78f32515e00ac2d01fc54319,201779,217482
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,68,db287fec6a2adccd99b1236c3d27e0905626bb1eedb165ed501c88a37fe2922d,3cdd412023d1ae814a9acff012edf19e79a9e1744606328ffcae6ffe86f96996,356190,227706
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,69,3b1555b46ab86d0e1a35ba73fcda1d1e5f0b1411a6998b36158b3f28b5991029,26d3a693ef667f672c6701881f18c58d163b1b9e95dffd460aeb8a0ee10c96a6,254813,235245
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,70,c019057492e9a89d88544e7b328fe6599f09dba373fa15771b2a8f3a1a957261,7fc7e4e36dedc0838823ae9ec0d46fd2251e70bca90fefdd104bbfb65edabfb5,337724,248029
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,71,5d4e98e3aad1541071d21ad67bb6bc017c0b1b3376394664fc76e1fd9b1e293f,284ca87ff8d8142437b8437b508ac51e1c0308435b3b5e2e8d014adb19ae6cb5,347987,214967
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,72,4e1e0a7fc711590b7d5349b87fedd983b1da7f5389a5a7fc441bd12e3082b15b,c0c7cc618489631643d66e6043b9e9e2b12dfc4044eb52aa20123d078e90416f,508573,200257
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,73,363406d2378abad7ba54a8d869f3ac0875d4f08115f8e4fdeab3cdb3d3c71651,fcc9681ae6e13bbf20b893bece94f43c6c57c6d064d06c331a4d07025a36b548,345794,243896
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,74,e0aaeecf5ab92c68087f86f714905fcd52439e4f347875a60daed00e2b533d79,cede3abb1a181e8e758724e8d1a96f0018ee085291f2a59a7e0a17045fc02e28,511832,211429
