observation_version,observation_id,viewer_key,field,normalized_value,evidence_viewer_page,evidence_image_index,evidence_sha256,evidence_byte_size,support_class,psm_support_count,psm_modes,isbn13_checksum_valid,extraction_source_version
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2011P4CI315:edition_history_statement:first_edition:2008,H2011P4CI315,edition_history_statement,first_edition:2008,2,2,5eb8dc9c3a572db2aca00a74f71c1d2e23569758f5cebde1bf5577ebd44de0b0,454201,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2011P4CI315:edition_history_statement:third_edition:2010,H2011P4CI315,edition_history_statement,third_edition:2010,2,2,5eb8dc9c3a572db2aca00a74f71c1d2e23569758f5cebde1bf5577ebd44de0b0,454201,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2011P4CI315:school_cycle_statement:2013-2014,H2011P4CI315,school_cycle_statement,2013-2014,2,2,5eb8dc9c3a572db2aca00a74f71c1d2e23569758f5cebde1bf5577ebd44de0b0,454201,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2011P5CI326:edition_history_statement:first_edition:2008,H2011P5CI326,edition_history_statement,first_edition:2008,2,2,e67c796f1dd5be252d6ad047e609a860b54219658c14943d8290c9034ba630eb,339236,strong_multipsm,4,3;4;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2011P5CI326:edition_history_statement:third_edition:2010,H2011P5CI326,edition_history_statement,third_edition:2010,2,2,e67c796f1dd5be252d6ad047e609a860b54219658c14943d8290c9034ba630eb,339236,strong_multipsm,4,3;4;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2011P5CI326:school_cycle_statement:2013-2014,H2011P5CI326,school_cycle_statement,2013-2014,2,2,e67c796f1dd5be252d6ad047e609a860b54219658c14943d8290c9034ba630eb,339236,strong_multipsm,3,3;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2011P6CI336:edition_history_statement:first_edition:2008,H2011P6CI336,edition_history_statement,first_edition:2008,2,2,fac74bb77bc28c25435720b8669ef78242b1b3427785ed1e90453bd812a65c10,616552,strong_multipsm,3,3;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2011P6CI336:edition_history_statement:third_edition:2010,H2011P6CI336,edition_history_statement,third_edition:2010,2,2,fac74bb77bc28c25435720b8669ef78242b1b3427785ed1e90453bd812a65c10,616552,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2011P6CI336:school_cycle_statement:2013-2014,H2011P6CI336,school_cycle_statement,2013-2014,2,2,fac74bb77bc28c25435720b8669ef78242b1b3427785ed1e90453bd812a65c10,616552,strong_multipsm,3,3;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P1FCA:edition_history_statement:fifth_edition:2014,H2014P1FCA,edition_history_statement,fifth_edition:2014,2,2,528155fb16c3121cd6ce0115a4e57f99e8cd12c030d7101a01a492f77c1e04c6,420190,strong_multipsm,4,3;4;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
