topology_version,viewer_key,catalog_generation,grade_code,title_core,source_admitted,is_canonical_processing_object,processing_mode,canonical_viewer_key,source_sequence_sha256,source_pages,terminal_synthetic_candidates,source_state
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI179,1993,3,Quintana Roo. Historia y Geografía,1,1,direct_canonical,H1993P3HI179,0d4d0b042f995c47ccefd653eb13d870042991443b27a015aeb80178bbd3e087,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI180,1993,3,San Luis Potosí. Historia y Geografía,1,1,direct_canonical,H1993P3HI180,945b4952193529c07bee90e7741f2e6fdf6606e7cd43f24e80a9ff66b7c94f1e,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI181,1993,3,Sinaloa. Historia y Geografía,1,1,direct_canonical,H1993P3HI181,2e7b1ffb4d1956156282e897d4ed5d6b73a83cd8b6ec15f737279c04d9ab8ab3,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI182,1993,3,Sonora. Historia y Geografía,1,1,direct_canonical,H1993P3HI182,440efd84a30e7852d5f56a07274fe2f851af1e8f976b294f6f393db1653ae71c,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI183,1993,3,Tabasco. Historia y Geografía,1,1,direct_canonical,H1993P3HI183,f5894a4db34a32ffcf8aa84af2b8f9c5c4b45b9a94bcb0c6dc7ea57266221d1f,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI184,1993,3,Tamaulipas. Historia y Geografía,1,1,direct_canonical,H1993P3HI184,8c6c0ad94462695cda75c8c419998b0a058d1c59f0eea691052c8721e728c6c0,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI185,1993,3,Tlaxcala. Historia y Geografía,1,1,direct_canonical,H1993P3HI185,d4ed187849bc300160701a2432f02b81772b714059cb75c028b521c5266a0037,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI186,1993,3,Veracruz. Historia y Geografía,1,1,direct_canonical,H1993P3HI186,6ca28bcb33cc4894b561e76ceae49c2099fc7343f6018ab82c72e2b444bf3967,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI187,1993,3,Yucatán. Historia y Geografía,1,1,direct_canonical,H1993P3HI187,bbb2033311267b65228b8128c25ab69c570584f29c7ac4dbaf0185628b646cde,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI188,1993,3,Zacatecas. Historia y Geografía,1,1,direct_canonical,H1993P3HI188,c9b5fe962696a980f395179059703c253f5a6f18c2a55272d2a1c61a294e5b16,164,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H2008P1CI249,2008,1,EXPLORACION DE LA NATURALEZA Y LA SOCIEDAD,1,1,direct_canonical,H2008P1CI249,e905a2de1954f79eb22d5f689167a4b3fe09b613f4bd5fbc2714c91d63702e91,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H2011P1CI293,2011,1,EXPLORACIÓN DE LA NATURALEZA Y LA SOCIEDAD,1,1,direct_canonical,H2011P1CI293,e61023aa5be2fe6989271ab9e63a0ad4dbb4b164534f8cec5d7b01fefa60c32f,169,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H2011P2CI300,2011,2,EXPLORACIÓN DE LA NATURALEZA Y LA SOCIEDAD,1,1,direct_canonical,H2011P2CI300,3435bdea575595337b2c605376f49b7ad8eb6e2d28a8c85705716f63a8edcc8a,161,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H2014P1ENA,2014,1,Exploración de la Naturaleza y la Sociedad,0,0,withheld_source,,,168,0,withheld_internal_unserved
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H2014P2ENA,2014,2,Exploración de la Naturaleza y la Sociedad,1,1,direct_canonical,H2014P2ENA,35961925b225f0ea31c6680fac8bc1e63ef66b93ea7451714539d39aa4ed48da,161,1,admitted_direct
