manifest_version,viewer_key,catalog_generation,grade_code,title_core,processing_mode,viewer_page,source_image_index,source_asset_url,byte_size,sha256,asset_status,page_numbering_policy,source_provenance
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,35,35,https://historico.conaliteg.gob.mx/c/H2008P1CI250/035.jpg,323864,3c2f287b35efc56a5ae9c881779a2e3f2a10e6df3e5e969cff58443f04cb9641,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,36,36,https://historico.conaliteg.gob.mx/c/H2008P1CI250/036.jpg,419590,4b2e1fdeee8f99dbcfc70cfeacffa905246c169ae61ffc592c9229d84f2076f0,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,37,37,https://historico.conaliteg.gob.mx/c/H2008P1CI250/037.jpg,278274,ebe04e8a0026a08e4c7df1c7c3b92bbf2e6e23b9a11004356c6641866387ddeb,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,38,38,https://historico.conaliteg.gob.mx/c/H2008P1CI250/038.jpg,405978,e0459f89025d5c7f95a47406698d24a086a2aafecb0cfce02bb16e0c481efa61,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,39,39,https://historico.conaliteg.gob.mx/c/H2008P1CI250/039.jpg,325378,703098e485eebd301d3f2efcea1c56ba5ec11c594a558a5d676d3e56db3ea9ef,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,40,40,https://historico.conaliteg.gob.mx/c/H2008P1CI250/040.jpg,371277,d136f4c1b64f543544feacf2ac1b2a72bcd130ec52a5faf8caa7a1b3c47060c6,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,41,41,https://historico.conaliteg.gob.mx/c/H2008P1CI250/041.jpg,348471,b2f327bee5bdaaf8919f46d60842958c5eb2896f9e2d9a6d395e6054cd69623f,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,42,42,https://historico.conaliteg.gob.mx/c/H2008P1CI250/042.jpg,286014,954b4c046416743398973bf58027d9eec101eb4faa85a4e1d2e1adfa4ad0e92e,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,43,43,https://historico.conaliteg.gob.mx/c/H2008P1CI250/043.jpg,323457,ca19850b59ae22fd51eca0fdfb6c467bf988502d9b64dfca14a2e1f0e420a670,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,44,44,https://historico.conaliteg.gob.mx/c/H2008P1CI250/044.jpg,376959,75c26bf2256194b3ec36248c9054919229b6dda0801d84d666e796b04c7e98f7,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
