audit_version,snapshot_version,viewer_key,catalog_generation,grade_code,tail_code,occurrences,source_url,http_status,content_type,final_url,viewer_title,reachable,title_present,error
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P4HI361,1966,4,HI361,1,https://historico.conaliteg.gob.mx/H1966P4HI361.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P4HI361.htm,MI LIBRO DE HISTORIA Y CIVISMO Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P4MA362,1966,4,MA362,1,https://historico.conaliteg.gob.mx/H1966P4MA362.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P4MA362.htm,"MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.",1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P4MA363,1966,4,MA363,1,https://historico.conaliteg.gob.mx/H1966P4MA363.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P4MA363.htm,"MI LIBRO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.",1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P5ES365,1966,5,ES365,1,https://historico.conaliteg.gob.mx/H1966P5ES365.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P5ES365.htm,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P5ES366,1966,5,ES366,1,https://historico.conaliteg.gob.mx/H1966P5ES366.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P5ES366.htm,MI LIBRO DE LENGUA NACIONAL Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P5GE367,1966,5,GE367,1,https://historico.conaliteg.gob.mx/H1966P5GE367.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P5GE367.htm,MI CUADERNO DE TRABAJO DE GEOGRAFÍA Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P5GE368,1966,5,GE368,1,https://historico.conaliteg.gob.mx/H1966P5GE368.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P5GE368.htm,MI LIBRO DE GEOGRAFÍA Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P5HI369,1966,5,HI369,1,https://historico.conaliteg.gob.mx/H1966P5HI369.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P5HI369.htm,MI CUADERNO DE TRABAJO DE HISTORIA Y CIVISMO Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P5HI370,1966,5,HI370,1,https://historico.conaliteg.gob.mx/H1966P5HI370.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P5HI370.htm,MI LIBRO DE HISTORIA Y CIVISMO Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P5MA371,1966,5,MA371,1,https://historico.conaliteg.gob.mx/H1966P5MA371.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P5MA371.htm,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA. Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P5MA372,1966,5,MA372,1,https://historico.conaliteg.gob.mx/H1966P5MA372.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P5MA372.htm,MI LIBRO DE ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P5MA373,1966,5,MA373,1,https://historico.conaliteg.gob.mx/H1966P5MA373.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P5MA373.htm,"MI LIBRO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.",1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P6CI374,1966,6,CI374,1,https://historico.conaliteg.gob.mx/H1966P6CI374.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P6CI374.htm,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA Grado 6° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P6CI375,1966,6,CI375,1,https://historico.conaliteg.gob.mx/H1966P6CI375.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P6CI375.htm,MI LIBRO DE ESTUDIO DE LA NATURALEZA Grado 6° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P6ES376,1966,6,ES376,1,https://historico.conaliteg.gob.mx/H1966P6ES376.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P6ES376.htm,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL Grado 6° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P6ES377,1966,6,ES377,1,https://historico.conaliteg.gob.mx/H1966P6ES377.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P6ES377.htm,MI LIBRO DE LENGUA NACIONAL Grado 6° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P6GE378,1966,6,GE378,1,https://historico.conaliteg.gob.mx/H1966P6GE378.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P6GE378.htm,MI CUADERNO DE TRABAJO DE GEOGRAFÍA Grado 6° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P6HI379,1966,6,HI379,1,https://historico.conaliteg.gob.mx/H1966P6HI379.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P6HI379.htm,MI CUADERNO DE TRABAJO DE HISTORIA Y CIVISMO Grado 6° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P6HI380,1966,6,HI380,1,https://historico.conaliteg.gob.mx/H1966P6HI380.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P6HI380.htm,MI LIBRO DE HISTORIA Y CIVISMO Grado 6° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P6MA381,1966,6,MA381,1,https://historico.conaliteg.gob.mx/H1966P6MA381.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P6MA381.htm,MI LIBRO DE ARITMÉTICA Y GEOMETRÍA Grado 6° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P6MA382,1966,6,MA382,1,https://historico.conaliteg.gob.mx/H1966P6MA382.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P6MA382.htm,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA. Grado 6° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1972P1CI058,1972,1,CI058,1,https://historico.conaliteg.gob.mx/H1972P1CI058.htm,200,text/html,https://historico.conaliteg.gob.mx/H1972P1CI058.htm,CIENCIAS NATURALES Grado 1° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1972P1CI059,1972,1,CI059,1,https://historico.conaliteg.gob.mx/H1972P1CI059.htm,200,text/html,https://historico.conaliteg.gob.mx/H1972P1CI059.htm,"CIENCIAS NATURALES, CIENCIAS SOCIALES Grado 1° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.",1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1972P1CI060,1972,1,CI060,1,https://historico.conaliteg.gob.mx/H1972P1CI060.htm,200,text/html,https://historico.conaliteg.gob.mx/H1972P1CI060.htm,CIENCIAS SOCIALES Grado 1° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1972P1ES061,1972,1,ES061,1,https://historico.conaliteg.gob.mx/H1972P1ES061.htm,200,text/html,https://historico.conaliteg.gob.mx/H1972P1ES061.htm,ESPAÑOL Grado 1° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
