topology_version,viewer_key,catalog_generation,grade_code,title_core,technical_route,source_admitted,is_canonical_processing_object,processing_mode,canonical_viewer_key,source_sequence_sha256,source_pages,terminal_synthetic_candidates,source_state
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI233,1993,6,MONOGRAFÍA ESTATAL NUEVO LEÓN,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI233,e4e7c5413ba2b4926d7ce0cf3af9e2da84d06678fada06134c763da902296320,224,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI234,1993,6,MONOGRAFÍA ESTATAL OAXACA,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI234,f5d9dbd859caef9478091a3325373027a1df1d22c225b9d988a0de4413f03341,290,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI235,1993,6,MONOGRAFÍA ESTATAL PUEBLA,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI235,52429c6d76c82d9f5e9dda57544e2f1b7163309f8d9abd6ca6cdb4e2a8497bb1,274,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI236,1993,6,MONOGRAFÍA ESTATAL QUERÉTARO,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI236,b45ce2bd72256df4bb82ebf47cab281d133a5955fb7c97a016bc5bd3d9cc277e,260,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI237,1993,6,MONOGRAFÍA ESTATAL QUINTANA ROO,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI237,de2130d8d1c9ca1a8665838fb75521c0d917354e3ec0de773564dee8edbcdc1a,288,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI238,1993,6,MONOGRAFÍA ESTATAL SAN LUIS POTOSÍ,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI238,51ee74147b5b21ff209bc6bf70c409d99cd918433e5b24d3ca8fadf44d86db0c,218,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI239,1993,6,MONOGRAFÍA ESTATAL SINALOA,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI239,db1c61ae3c9cb047a49e122840b38c091920028e8d248ad59b90693400be0046,198,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI240,1993,6,MONOGRAFÍA ESTATAL SONORA,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI240,c24d9a5eef0e239ee37245b3a454faff0486cbb85d757ca1aa586cf81cc6f161,258,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI241,1993,6,MONOGRAFÍA ESTATAL TABASCO,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI241,70b5ee618bbd1356b2c0bdb9e3d2f1722bce4f6ee8ccdefd7581fd2a2c69777f,274,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI242,1993,6,MONOGRAFÍA ESTATAL TAMAULIPAS,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI242,aaa0d2e82e59c46fc8a1965f524321057dda0ad163c1493eebdf1113b9b04071,218,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI243,1993,6,MONOGRAFÍA ESTATAL TLAXCALA,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI243,1b8873079e18af5bc5e8d968a28b65ec0654ea9c8e5681ee85337a151ce179f6,218,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI244,1993,6,MONOGRAFÍA ESTATAL VERACRUZ,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI244,bbdd3cf5da48f5aadad2f919a1d6f7119805cdee430f50686ce775e9e007267a,290,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI245,1993,6,MONOGRAFÍA ESTATAL YUCATÁN,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI245,2bc8734f96a1b32a3620b079f0d26e76c91047f1562dcecece15151385dee7d1,278,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI246,1993,6,MONOGRAFÍA ESTATAL ZACATECAS,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI246,e6ce42dd5cd39ddd69c9caccc2b739f35682bcedaf5721e934a33f94a57b6205,258,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2008P4CI270,2008,4,CONOCE NUESTRA CONSTITUCIÓN,nonstandard_html_diagnostics,1,0,exact_source_alias,H1993P4CI192,a8911e0b77185cf7c842e37f4b2c1b219ab0a64adc073ee71dd20f2ed30ba38e,66,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2008P5MA285,2008,5,MATEMAÁTICAS,standard_dynamic_claves,1,1,direct_canonical,H2008P5MA285,4faee27877c0814fe5ee850662bdba19136213702217e282896f2d8375450421,194,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2011P1ED296,2011,1,EDUCACIÓN FÍSCIA,standard_dynamic_claves,1,1,direct_canonical,H2011P1ED296,f009627f0d1592fe232e721f0204d2e897243e63f653e133efe945cae224de7b,105,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2011P2ED303,2011,2,EDUCACIÓN FÍSCIA,standard_dynamic_claves,1,1,direct_canonical,H2011P2ED303,c6446a0337cbc429cb5e9602f960ca143949adb3d10c9611aa46a600c1641cc2,89,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2011P3ED310,2011,3,EDUCACIÓN FÍSCIA,standard_dynamic_claves,1,1,direct_canonical,H2011P3ED310,9f7ad6cbaf25f0c5335c517642217b9e972719b75088b98cd9e61bbdfc510802,113,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2011P4CI316,2011,4,CONOCE NUESTRA CONSTITICIÓN,nonstandard_html_diagnostics,1,1,direct_canonical,H2011P4CI316,064202610332df0e0a8a40fbdb05ca77b634191f92b34a267b9a57207d65f28f,65,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2011P4ED318,2011,4,EDUCACIÓN FÍSCIA,standard_dynamic_claves,1,1,direct_canonical,H2011P4ED318,50f35789131d0d9a9813c53f5cf0c2afff78b48893cfcc2df7bfee3f9c126348,113,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2011P5ED328,2011,5,EDUCACIÓN FÍSCIA,standard_dynamic_claves,1,1,direct_canonical,H2011P5ED328,b98b2351f167e3ef8ec3a98a0c438c7da04e1ce1b7dcb535040ccadf1481e9ba,105,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2011P6ED338,2011,6,EDUCACIÓN FÍSCIA,standard_dynamic_claves,1,1,direct_canonical,H2011P6ED338,7b20d76ee923662b7bec8ba2c3e72118fcfacdf255352a8c67f91159626b5847,113,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P1CAM,2014,1,"Material de apoyo a la alfabetización inicial, Tiras recortables y cartel con el alfabeto",nonstandard_html_diagnostics,1,1,direct_canonical,H2014P1CAM,80156c5e06cb9f7f7be4849e3dad880de294dd9d1a444fab7162f6c034b035e9,114,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P1EAM,2014,1,Fichero didactico (incluye DVD),nonstandard_html_diagnostics,0,0,withheld_source,,,48,0,withheld_internal_unserved
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P2EAM,2014,2,Fichero didactico (incluye DVD),nonstandard_html_diagnostics,0,0,withheld_source,,,17,0,withheld_internal_unserved
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3AGS,2014,3,La entidad donde vivo Aguascalientes,standard_dynamic_claves,1,1,direct_canonical,H2014P3AGS,36bc2a322dd8d1d512f491c83cacb716f85027ff83e1c4e8cc38ba11bf0f82ac,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3BCN,2014,3,La entidad donde vivo Baja California Norte,standard_dynamic_claves,1,1,direct_canonical,H2014P3BCN,12d91e10432d5ab11e5b1b8ab496c22d78b98fd0d450a15bce4b2d2dc1121246,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3BCS,2014,3,La entidad donde vivo Baja California Sur,standard_dynamic_claves,1,1,direct_canonical,H2014P3BCS,45a0de9dcf6378cd857dae0bae1bb93dde4bce81092c3c6041df5dc2ec220861,161,1,admitted_direct
