inventory_version,routing_version,viewer_key,catalog_generation,grade_code,title_core,ag_clave,declared_positions,technical_route,source_url
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI242,1993,6,MONOGRAFÍA ESTATAL TAMAULIPAS,H1993P6HI242,219,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI242.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI243,1993,6,MONOGRAFÍA ESTATAL TLAXCALA,H1993P6HI243,219,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI243.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI244,1993,6,MONOGRAFÍA ESTATAL VERACRUZ,H1993P6HI244,291,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI244.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI245,1993,6,MONOGRAFÍA ESTATAL YUCATÁN,H1993P6HI245,279,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI245.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI246,1993,6,MONOGRAFÍA ESTATAL ZACATECAS,H1993P6HI246,259,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI246.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2008P5MA285,2008,5,MATEMAÁTICAS,H2008P5MA285,195,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2008P5MA285.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2011P1ED296,2011,1,EDUCACIÓN FÍSCIA,H2011P1ED296,106,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2011P1ED296.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2011P2ED303,2011,2,EDUCACIÓN FÍSCIA,H2011P2ED303,90,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2011P2ED303.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2011P3ED310,2011,3,EDUCACIÓN FÍSCIA,H2011P3ED310,114,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2011P3ED310.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2011P4ED318,2011,4,EDUCACIÓN FÍSCIA,H2011P4ED318,114,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2011P4ED318.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2011P5ED328,2011,5,EDUCACIÓN FÍSCIA,H2011P5ED328,106,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2011P5ED328.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2011P6ED338,2011,6,EDUCACIÓN FÍSCIA,H2011P6ED338,114,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2011P6ED338.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3AGS,2014,3,La entidad donde vivo Aguascalientes,H2014P3AGS,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3AGS.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3BCN,2014,3,La entidad donde vivo Baja California Norte,H2014P3BCN,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3BCN.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3BCS,2014,3,La entidad donde vivo Baja California Sur,H2014P3BCS,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3BCS.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3CAM,2014,3,La entidad donde vivo Campeche,H2014P3CAM,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3CAM.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3CDM,2014,3,La entidad donde vivo Ciudad de México,H2014P3CDM,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3CDM.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3CHH,2014,3,La entidad donde vivo Chihuahua,H2014P3CHH,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3CHH.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3CHP,2014,3,La entidad donde vivo Chiapas,H2014P3CHP,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3CHP.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3COA,2014,3,La entidad donde vivo Coahuila,H2014P3COA,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3COA.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3COL,2014,3,La entidad donde vivo Colima,H2014P3COL,161,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3COL.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3DUR,2014,3,La entidad donde vivo Durango,H2014P3DUR,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3DUR.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3GRO,2014,3,La entidad donde vivo Guerrero,H2014P3GRO,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3GRO.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3GTO,2014,3,La entidad donde vivo Guanajuato,H2014P3GTO,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3GTO.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3HID,2014,3,La entidad donde vivo Hidalgo,H2014P3HID,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3HID.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3JAL,2014,3,La entidad donde vivo Jalisco,H2014P3JAL,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3JAL.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3MEX,2014,3,La entidad donde vivo México,H2014P3MEX,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3MEX.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3MIC,2014,3,La entidad donde vivo Michoacán,H2014P3MIC,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3MIC.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3MOR,2014,3,La entidad donde vivo Morelos,H2014P3MOR,161,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3MOR.htm
