topology_version,page_id,viewer_key,catalog_generation,grade_code,title_core,viewer_page,source_kind,source_asset_url,sha256,byte_size,original_source_asset_url,original_asset_status,recovery_reference_viewer_key
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0063,H2011P4GE321,2011,4,GEOGRAFÍA,63,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/063.jpg,ebdd5a6c2b4340cc453d919ef19142742dfa1e1397bf03d33a5c64f4f2dffeb9,384792,https://historico.conaliteg.gob.mx/c/H2011P4GE321/063.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0064,H2011P4GE321,2011,4,GEOGRAFÍA,64,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/064.jpg,e1352c0a99dc068678b692377f884d6dc9cf7a427b382c85b1c3e03de4f403d1,371526,https://historico.conaliteg.gob.mx/c/H2011P4GE321/064.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0065,H2011P4GE321,2011,4,GEOGRAFÍA,65,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/065.jpg,97fced2b99c986374a452db56943af2d776f9fd35edfb4709ee5515fbd84d6c6,274308,https://historico.conaliteg.gob.mx/c/H2011P4GE321/065.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0066,H2011P4GE321,2011,4,GEOGRAFÍA,66,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/066.jpg,ed82f83dee0b23a929566c16be50f09bce6295b43fe99bf346f605bc6d84c1fe,359524,https://historico.conaliteg.gob.mx/c/H2011P4GE321/066.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0067,H2011P4GE321,2011,4,GEOGRAFÍA,67,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/067.jpg,d984243e3e68233c43d921279ebff20a3479730373fdfd842a4f01fb9ab97b34,328897,https://historico.conaliteg.gob.mx/c/H2011P4GE321/067.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0068,H2011P4GE321,2011,4,GEOGRAFÍA,68,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/068.jpg,5172899239a9ec9ea709a28c76f17fe121d7fbf200e499ca2e4a4e162374b0a6,358457,https://historico.conaliteg.gob.mx/c/H2011P4GE321/068.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0069,H2011P4GE321,2011,4,GEOGRAFÍA,69,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/069.jpg,e645e3d77f4503a9afd98a4d9e9837751fbb018d9da3442f9beabf58f9b27096,284309,https://historico.conaliteg.gob.mx/c/H2011P4GE321/069.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0070,H2011P4GE321,2011,4,GEOGRAFÍA,70,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/070.jpg,eb22ad767d16eab1f06c72f9400520adfb1ec5a1980f45a95e3ba729c08f0633,376963,https://historico.conaliteg.gob.mx/c/H2011P4GE321/070.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0071,H2011P4GE321,2011,4,GEOGRAFÍA,71,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/071.jpg,5b9361b909f52a9150192b27791151f669c508e8719baa3cb6f006432252df3f,244915,https://historico.conaliteg.gob.mx/c/H2011P4GE321/071.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0072,H2011P4GE321,2011,4,GEOGRAFÍA,72,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/072.jpg,fe31fc1299b08af6c275dd39a66581e126c985c081686754fd3106436bb0c9e1,252345,https://historico.conaliteg.gob.mx/c/H2011P4GE321/072.jpg,source_jpeg,
