audit_version,grade,viewer_page,book_2018,viewer_key_2018,alias_content_key,alias_asset_url,book_2019,viewer_key_2019,reference_asset_url,reference_sha256,reference_byte_size,url_identity,observed_sha256,observed_byte_size,http_status,content_type,fetch_attempts,error,sha256_identity,byte_size_identity
CN2018_2019_ASSET_IDENTITY_0.1,4,30,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/030.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/030.jpg,e1020492a61e37b852700e74ec8aec0290db1ae6eeb3786b594853d7a28722e4,123551,1,e1020492a61e37b852700e74ec8aec0290db1ae6eeb3786b594853d7a28722e4,123551,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,31,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/031.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/031.jpg,6a1bd39e73d8ad3096fcd3aa988fdfb54eaa4310c5a92b0182a2363582e5bb15,147192,1,6a1bd39e73d8ad3096fcd3aa988fdfb54eaa4310c5a92b0182a2363582e5bb15,147192,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,32,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/032.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/032.jpg,68d9f244bc5454f18699605102a817fa0224c9749a398a865849ac576865b3de,113770,1,68d9f244bc5454f18699605102a817fa0224c9749a398a865849ac576865b3de,113770,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,33,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/033.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/033.jpg,2c4fe07eb00050fa39cf9b46a1fe6ae3105da0d47dc2bd5b43a5306a49a9e41d,110672,1,2c4fe07eb00050fa39cf9b46a1fe6ae3105da0d47dc2bd5b43a5306a49a9e41d,110672,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,34,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/034.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/034.jpg,0f6b56eefc4f4a5025bf721b32001e60efc5edf3625a0da554f6ffb8d9eede72,101037,1,0f6b56eefc4f4a5025bf721b32001e60efc5edf3625a0da554f6ffb8d9eede72,101037,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,35,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/035.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/035.jpg,8826601c94d935da6e27f54756f211b4fa46a2eb448c037f935ccec50c8c820f,75232,1,8826601c94d935da6e27f54756f211b4fa46a2eb448c037f935ccec50c8c820f,75232,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,36,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/036.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/036.jpg,4cf6ee875b5dfee845001b34d9b4767ae2279f2e9d514a5b27c596d23f95cbf3,136798,1,4cf6ee875b5dfee845001b34d9b4767ae2279f2e9d514a5b27c596d23f95cbf3,136798,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,37,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/037.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/037.jpg,5086605ae72b0a5da4fec29c56ba54d6c43cf86e9e08c38d29eb197fd13dc49f,134556,1,5086605ae72b0a5da4fec29c56ba54d6c43cf86e9e08c38d29eb197fd13dc49f,134556,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,38,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/038.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/038.jpg,7f8417a160b21020170e2c485feda73a32639b33541a4b1ff2597f1a16d3d5ad,75273,1,7f8417a160b21020170e2c485feda73a32639b33541a4b1ff2597f1a16d3d5ad,75273,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,39,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/039.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/039.jpg,fb5984fceed482f50adf873d57991aaf7dbf345286f06b6de6e36106e24a3676,72756,1,fb5984fceed482f50adf873d57991aaf7dbf345286f06b6de6e36106e24a3676,72756,200,image/jpeg,1,,1,1
