audit_version,viewer_key,catalog_generation,grade_code,title_core,viewer_ui,ag_clave,viewer_page,declared_positions,source_image_index,source_asset_url,is_final_declared_position,probe_state,http_status,content_type,byte_size,sha256,attempts,error,asset_status
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,44,115,44,https://historico.conaliteg.gob.mx/c/H2008P1ED252/044.jpg,0,served_image,200,image/jpeg,309996,0c2224d55dbe4a5e184ce46113ecf5d5fbb0bfa307a7590f8772dbea30025867,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,45,115,45,https://historico.conaliteg.gob.mx/c/H2008P1ED252/045.jpg,0,served_image,200,image/jpeg,237000,1d9b39c392db8ecf61f8793f0523dfbc477025f3e3ed12e81c75cd21fad0457f,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,46,115,46,https://historico.conaliteg.gob.mx/c/H2008P1ED252/046.jpg,0,served_image,200,image/jpeg,304050,60258636b80159d2f166fc48967e60fa2ff377cc4213cfa708fc3a56047870df,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,47,115,47,https://historico.conaliteg.gob.mx/c/H2008P1ED252/047.jpg,0,served_image,200,image/jpeg,253584,b3faeb117a2d41e0a68616ef21e851179d77c551c0f3cd601e94158c14251b25,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,48,115,48,https://historico.conaliteg.gob.mx/c/H2008P1ED252/048.jpg,0,served_image,200,image/jpeg,376810,1cc4b28ad3b4ce0de2fb7f4b7666a0e3e77a2130c71e837f806c0be4800628c7,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,49,115,49,https://historico.conaliteg.gob.mx/c/H2008P1ED252/049.jpg,0,served_image,200,image/jpeg,326075,66b5043d7e3c738d5a3c762a8be2c4e694ff381d049094757c0662c9b2392b5a,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,50,115,50,https://historico.conaliteg.gob.mx/c/H2008P1ED252/050.jpg,0,served_image,200,image/jpeg,284357,ae6a6d064a95d92f79e400115a162cec8b8ea6b3ba4ad74d83a839a535528598,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,51,115,51,https://historico.conaliteg.gob.mx/c/H2008P1ED252/051.jpg,0,served_image,200,image/jpeg,260529,1a0d1548991e05ac11814a64e5e84f6e5dcf5f83a440f5f9a47a8919ab5fe731,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,52,115,52,https://historico.conaliteg.gob.mx/c/H2008P1ED252/052.jpg,0,served_image,200,image/jpeg,258883,31c552eae21de0df59623f84a7d87a673069b6886233a9f089320fc4c1cd26e8,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,53,115,53,https://historico.conaliteg.gob.mx/c/H2008P1ED252/053.jpg,0,served_image,200,image/jpeg,266666,c81777af5a6be6ad0a6d9eb78837d7b48b8ea105832d33957456f1b5cb234f92,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,54,115,54,https://historico.conaliteg.gob.mx/c/H2008P1ED252/054.jpg,0,served_image,200,image/jpeg,287327,7dbb11155c330807ea955cd12b1974f7d72b793cdd6c50502a998af63db5ef4f,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,55,115,55,https://historico.conaliteg.gob.mx/c/H2008P1ED252/055.jpg,0,served_image,200,image/jpeg,277783,aa8cf60b7f37aa157c2b25d34205effb566a345f71c47a62dccf29b7bdb8aff8,1,,source_jpeg
