manifest_version,page_id,book_id,viewer_key,catalog_generation,grade_code,title_core,viewer_page,declared_page_count,source_image_index,source_asset_url,is_final_declared_position,position_ratio,position_quartile,asset_status,reachable_image,http_status,content_type,byte_size,sha256,fetch_attempts,error
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP034,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,34,179,34,https://historico.conaliteg.gob.mx/c/H1966P6CI374/034.jpg,0,0.189944,Q1,source_jpeg,1,200,image/jpeg,52693,bfca64d7ea0ee83b7300cbe89a18f4d1d6123177ab37c6a3c38b2cdfb3af84be,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP035,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,35,179,35,https://historico.conaliteg.gob.mx/c/H1966P6CI374/035.jpg,0,0.195531,Q1,source_jpeg,1,200,image/jpeg,44901,36ccec928b849a1c40c60e965cb5de29acaef1303cc8ffc6d30504346ee11be4,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP036,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,36,179,36,https://historico.conaliteg.gob.mx/c/H1966P6CI374/036.jpg,0,0.201117,Q1,source_jpeg,1,200,image/jpeg,58010,a01c19d18b4e88fbadd35c19bfa533e88d92f3cd49889d60c636b615a5c5a06a,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP037,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,37,179,37,https://historico.conaliteg.gob.mx/c/H1966P6CI374/037.jpg,0,0.206704,Q1,source_jpeg,1,200,image/jpeg,49068,1ef4248332b4adadbcf8d5211c4258b88682e2d76c1e38dee629132c550a8bae,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP038,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,38,179,38,https://historico.conaliteg.gob.mx/c/H1966P6CI374/038.jpg,0,0.212291,Q1,source_jpeg,1,200,image/jpeg,50243,5a573821ec736f7af53f8b280308f064cca73288e87c574bb092dfc058f07dcc,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP039,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,39,179,39,https://historico.conaliteg.gob.mx/c/H1966P6CI374/039.jpg,0,0.217877,Q1,source_jpeg,1,200,image/jpeg,59100,3e36771e19b33ce1a6e9948f57f7ed319fa4b863906cd00408ba260cc5f7e141,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP040,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,40,179,40,https://historico.conaliteg.gob.mx/c/H1966P6CI374/040.jpg,0,0.223464,Q1,source_jpeg,1,200,image/jpeg,46459,9282e5e75108ee33b7b7bc7d531b87afde8a0f3f3f749f3debf0b508f623d2ef,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP041,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,41,179,41,https://historico.conaliteg.gob.mx/c/H1966P6CI374/041.jpg,0,0.229050,Q1,source_jpeg,1,200,image/jpeg,49866,266376ac45e48b922eb7371eb78fd720e559fa9adfca2c2dbec15773fc6f2b7b,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP042,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,42,179,42,https://historico.conaliteg.gob.mx/c/H1966P6CI374/042.jpg,0,0.234637,Q1,source_jpeg,1,200,image/jpeg,45482,06846bae7a25d0425c1f033b375562a887618433bd501c8e9587aed3981fec23,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP043,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,43,179,43,https://historico.conaliteg.gob.mx/c/H1966P6CI374/043.jpg,0,0.240223,Q1,source_jpeg,1,200,image/jpeg,46032,7986066c1a298b085cb90ccfbef0c93c1ded28f766f9da73e527f5451e0df8cb,1,
