record_type,audit_version,viewer_key,candidate_label,candidate_base,official_ag_pages,official_json_path,viewer_page,source_image_index,historical_asset_status,historical_url,probe_url,http_status,content_type,byte_size,jpeg_magic,historical_sha256,observed_sha256,sha256_match,query_state,capture_count,error
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,50,50,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/050.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/050.jpg,200,image/jpeg,102484,1,2e3c8263f13782e315c05f626eaaeb2206dd38388a52bf31d64ba49352398b4a,77407f38ce7c3d594360b386a7156392eeea942f6b60b375ef4e4e452a82d36e,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,52,52,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/052.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/052.jpg,200,image/jpeg,124259,1,2bf5394db193b03c05d7c7d1e4d28faff40c4945141f31e6b654918d69b916d4,8d9b4dd08d838102b168a7cbd8c12aa3d8a1360866c4eedd926997f7befdcdab,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,51,51,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/051.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/051.jpg,200,image/jpeg,128675,1,f334100084152f8966af0827a45590c1dfb3d0306f496e86c7f3ac94957cd88d,0ba8d078c05aa78c95dd5e9279ca9f0219f294ceba9f8378056abc263bb17eec,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,53,53,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/053.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/053.jpg,200,image/jpeg,109613,1,2b43f480535be6697dfe14b5b87503d0705950efb5b85b194b54e7f91b6d958b,7c22a233fa1ff84beec74a878d6e83f09b55a03183c37ecc3a7dd4b3d3bc776d,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,54,54,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/054.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/054.jpg,200,image/jpeg,107253,1,2628987225923f8a6e249dba6416fddd901b42355fb79fb628cc79ca7ffc8e5a,6f283e51dcc5ddbb7b140ea52d83f11bb60c98690078c5a96915459de67c8bbe,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,55,55,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/055.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/055.jpg,200,image/jpeg,114130,1,2a42ce23cb3d6d1d967d7c35eae88e28dc36bc8688aaee64550ac26acf78eb90,16bf8b3d0563a7519abb5c9ea9963d73c4f4c6e5398eaf12f0cf1da7ce973fbd,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,56,56,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/056.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/056.jpg,200,image/jpeg,214327,1,45bb422905d279b459b6dc29fdb32b5766aaae00626e4765a1cce266efac3eb1,ca2795c0dde4452c00d6e3d78d45e9aa25bc785df68354f9b60573093e145e67,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,57,57,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/057.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/057.jpg,200,image/jpeg,226070,1,0d05bda8204f3eb86df01787d1a88c9d2789f72f3e5e5dd592942db8fce64832,16f04132a64c2cff8a61e8dae899451e11e1d5a2fe299ef3fc402b5f683f003f,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,58,58,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/058.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/058.jpg,200,image/jpeg,106749,1,e25a3abb2d34ee9f676a3d8b3bd162a97a2906fb369c8eb5512b5d6dc8d082b7,d17f818488785e827fe4f6d66293597c65f2f522bc0fda3ece22658149448d75,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,59,59,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/059.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/059.jpg,200,image/jpeg,99346,1,42c0e95be9d3122c715cc64cb7807278d13b3f3dba37b342172d6420dcece1ec,c58a3ac121c8371b4781e014d445f60c48d6c68a1ee96415be5b519446124314,0,,,
