analysis_version,viewer_key,catalog_generation,grade_code,title_core,processing_mode,canonical_processing_viewer_key,inherited_from_canonical,canonical_fragment_occurrences,canonical_unique_text_units,persistent_internal_source_gaps
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2008P3ES266,2008,3,ESPAÑOL LECTURAS,partial_canonical_explicit_gap,H2008P3ES266,0,1427,1321,1
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2008P4ES271,2008,4,ESPAÑOL ACTIVIDADES,partial_canonical_explicit_gap,H2008P4ES271,0,2828,2670,1
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2008P4ES272,2008,4,ESPAÑOL LECTURAS,partial_canonical_explicit_gap,H2008P4ES272,0,2129,2059,2
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2008P5ES281,2008,5,ESPAÑOL,direct_canonical,H2008P5ES281,0,2613,2448,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2008P6ES288,2008,6,ESPAÑOL,direct_canonical,H2008P6ES288,0,1838,1740,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2011P1ES297,2011,1,ESPAÑOL,direct_canonical,H2011P1ES297,0,1915,1752,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2011P1ES298,2011,1,ESPAÑOL LECTURAS,direct_canonical,H2011P1ES298,0,549,530,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2011P2ES304,2011,2,ESPAÑOL,direct_canonical,H2011P2ES304,0,2359,2070,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2011P2ES305,2011,2,ESPAÑOL LECTURAS,partial_canonical_explicit_gap,H2011P2ES305,0,763,744,1
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2011P3ES311,2011,3,ESPAÑOL,direct_canonical,H2011P3ES311,0,2580,2301,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2011P3ES312,2011,3,ESPAÑOL LECTURAS,direct_canonical,H2011P3ES312,0,1123,1107,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2011P4ES319,2011,4,ESPAÑOL,direct_canonical,H2011P4ES319,0,2253,1957,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2011P4ES320,2011,4,ESPAÑOL LECTURAS,direct_canonical,H2011P4ES320,0,2008,1991,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2011P5ES329,2011,5,ESPAÑOL,direct_canonical,H2011P5ES329,0,2663,2397,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2011P5ES330,2011,5,ESPAÑOL LECTURAS,direct_canonical,H2011P5ES330,0,2479,2459,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2011P6ES339,2011,6,ESPAÑOL,direct_canonical,H2011P6ES339,0,2866,2614,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2011P6ES340,2011,6,ESPAÑOL LECTURAS,direct_canonical,H2011P6ES340,0,2541,2527,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P1ESA,2014,1,Español. Libro para el alumno,direct_canonical,H2014P1ESA,0,1814,1447,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P1ESM,2014,1,Español. Libro para el maestro,direct_canonical,H2014P1ESM,0,3894,3287,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P1LEA,2014,1,Español. Libro de lectura,direct_canonical,H2014P1LEA,0,646,624,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P2ESA,2014,2,Español. Libro para el alumno,partial_canonical_explicit_gap,H2014P2ESA,0,2339,1909,1
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P2ESM,2014,2,Español. Libro para el maestro,direct_canonical,H2014P2ESM,0,3929,3310,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P2LEA,2014,2,Español. Libro de lectura,direct_canonical,H2014P2LEA,0,620,617,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P3ESA,2014,3,Español,direct_canonical,H2014P3ESA,0,2235,1992,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P3LEA,2014,3,Español. Libro de lectura,direct_canonical,H2014P3LEA,0,1054,1040,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P4ESA,2014,4,Español,direct_canonical,H2014P4ESA,0,1937,1695,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P4LEA,2014,4,Español. Libro de lectura,direct_canonical,H2014P4LEA,0,1409,1378,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P5ESA,2014,5,Español,direct_canonical,H2014P5ESA,0,2534,2307,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P5LEA,2014,5,Español. Libro de lectura,direct_canonical,H2014P5LEA,0,1874,1851,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P6ESA,2014,6,Español,direct_canonical,H2014P6ESA,0,2784,2562,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P6LEA,2014,6,Español. Libro de lectura,direct_canonical,H2014P6LEA,0,1778,1759,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2018P1ESA,2018,1,Lengua materna. Español,direct_canonical,H2018P1ESA,0,2178,1984,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2018P1ESM,2018,1,Lengua materna. Español. Docente,direct_canonical,H2018P1ESM,0,5491,4315,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2018P1LEA,2018,1,Lengua materna. Español lecturas,direct_canonical,H2018P1LEA,0,679,619,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2018P2ESA,2018,2,Lengua materna. Español,direct_canonical,H2018P2ESA,0,2478,2176,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2018P2ESM,2018,2,Lengua materna. Español. Docente,direct_canonical,H2018P2ESM,0,4848,3753,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2018P2LEA,2018,2,Lengua materna. Español lecturas,direct_canonical,H2018P2LEA,0,892,849,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2018P3ESA,2018,3,Español,paired_route_alias_2018_to_2019,H2019P3ESA,1,2270,2035,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2018P3LEA,2018,3,Español. Libro de lectura,paired_route_alias_2018_to_2019,H2019P3LEA,1,1005,996,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2018P4ESA,2018,4,Español,paired_route_alias_2018_to_2019,H2019P4ESA,1,1879,1650,0
