scope_version,viewer_key,book_id,catalog_generation,grade_code,title_core,asset_status_at_freeze,execution_action,source_url
LTMD_U1_W2_SCOPE_0.1,H2018P2MAA,U1-H2018P2MAA,2018,2,Matemáticas,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2018P2MAA.htm
LTMD_U1_W2_SCOPE_0.1,H2018P2MAM,U1-H2018P2MAM,2018,2,Matemáticas. Docente,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2018P2MAM.htm
LTMD_U1_W2_SCOPE_0.1,H2018P3DMA,U1-H2018P3DMA,2018,3,Desafíos matemáticos. Libro para el alumno,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2018P3DMA.htm
LTMD_U1_W2_SCOPE_0.1,H2018P4DMA,U1-H2018P4DMA,2018,4,Desafíos matemáticos. Libro para el alumno,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2018P4DMA.htm
LTMD_U1_W2_SCOPE_0.1,H2018P5DMA,U1-H2018P5DMA,2018,5,Desafíos matemáticos. Libro para el alumno,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2018P5DMA.htm
LTMD_U1_W2_SCOPE_0.1,H2018P6DMA,U1-H2018P6DMA,2018,6,Desafíos matemáticos. Libro para el alumno,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2018P6DMA.htm
LTMD_U1_W2_SCOPE_0.1,H2019P1MAA,U1-H2019P1MAA,2019,1,Matemáticas,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2019P1MAA.htm
LTMD_U1_W2_SCOPE_0.1,H2019P1MAM,U1-H2019P1MAM,2019,1,Matemáticas. Docente,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2019P1MAM.htm
LTMD_U1_W2_SCOPE_0.1,H2019P2MAA,U1-H2019P2MAA,2019,2,Matemáticas,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2019P2MAA.htm
LTMD_U1_W2_SCOPE_0.1,H2019P2MAM,U1-H2019P2MAM,2019,2,Matemáticas. Docente,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2019P2MAM.htm
LTMD_U1_W2_SCOPE_0.1,H2019P3DMA,U1-H2019P3DMA,2019,3,Desafíos matemáticos. Libro para el alumno,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2019P3DMA.htm
LTMD_U1_W2_SCOPE_0.1,H2019P4DMA,U1-H2019P4DMA,2019,4,Desafíos matemáticos. Libro para el alumno,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2019P4DMA.htm
LTMD_U1_W2_SCOPE_0.1,H2019P5DMA,U1-H2019P5DMA,2019,5,Desafíos matemáticos. Libro para el alumno,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2019P5DMA.htm
LTMD_U1_W2_SCOPE_0.1,H2019P6DMA,U1-H2019P6DMA,2019,6,Desafíos matemáticos. Libro para el alumno,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2019P6DMA.htm
