observation_version,observation_id,viewer_key,catalog_generation,field,normalized_value,display_value,evidence_class,evidence_viewer_page,evidence_image_index,evidence_sha256,evidence_byte_size,extraction_source_version,human_validated,admissibility_note,support_class,support_evidence_count
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2011P3CI308:edition_history_statement:first_edition:2008,H2011P3CI308,2011,edition_history_statement,first_edition:2008,"Primera edición, 2008",primary_source_page_ocr_multipsm,2,2,3fce0b57004700e901dc8b538bbd03d686cdf0104669a5a273a9e30147bb74f9,394426,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2011P3CI308:edition_history_statement:third_edition:2010,H2011P3CI308,2011,edition_history_statement,third_edition:2010,"Tercera edición, 2010",primary_source_page_ocr_multipsm,2,2,3fce0b57004700e901dc8b538bbd03d686cdf0104669a5a273a9e30147bb74f9,394426,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2011P4CI315:edition_history_statement:first_edition:2008,H2011P4CI315,2011,edition_history_statement,first_edition:2008,"Primera edición, 2008",primary_source_page_ocr_multipsm,2,2,5eb8dc9c3a572db2aca00a74f71c1d2e23569758f5cebde1bf5577ebd44de0b0,454201,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2011P4CI315:edition_history_statement:third_edition:2010,H2011P4CI315,2011,edition_history_statement,third_edition:2010,"Tercera edición, 2010",primary_source_page_ocr_multipsm,2,2,5eb8dc9c3a572db2aca00a74f71c1d2e23569758f5cebde1bf5577ebd44de0b0,454201,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2011P4CI315:school_cycle_statement:2013-2014,H2011P4CI315,2011,school_cycle_statement,2013-2014,ciclo escolar 2013-2014,primary_source_page_ocr_multipsm,2,2,5eb8dc9c3a572db2aca00a74f71c1d2e23569758f5cebde1bf5577ebd44de0b0,454201,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2011P5CI326:edition_history_statement:first_edition:2008,H2011P5CI326,2011,edition_history_statement,first_edition:2008,"Primera edición, 2008",primary_source_page_ocr_multipsm,2,2,e67c796f1dd5be252d6ad047e609a860b54219658c14943d8290c9034ba630eb,339236,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2011P5CI326:edition_history_statement:third_edition:2010,H2011P5CI326,2011,edition_history_statement,third_edition:2010,"Tercera edición, 2010",primary_source_page_ocr_multipsm,2,2,e67c796f1dd5be252d6ad047e609a860b54219658c14943d8290c9034ba630eb,339236,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2011P5CI326:school_cycle_statement:2013-2014,H2011P5CI326,2011,school_cycle_statement,2013-2014,ciclo escolar 2013-2014,primary_source_page_ocr_multipsm,2,2,e67c796f1dd5be252d6ad047e609a860b54219658c14943d8290c9034ba630eb,339236,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2011P6CI336:edition_history_statement:first_edition:2008,H2011P6CI336,2011,edition_history_statement,first_edition:2008,"Primera edición, 2008",primary_source_page_ocr_multipsm,2,2,fac74bb77bc28c25435720b8669ef78242b1b3427785ed1e90453bd812a65c10,616552,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2011P6CI336:edition_history_statement:third_edition:2010,H2011P6CI336,2011,edition_history_statement,third_edition:2010,"Tercera edición, 2010",primary_source_page_ocr_multipsm,2,2,fac74bb77bc28c25435720b8669ef78242b1b3427785ed1e90453bd812a65c10,616552,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
