profile_version,scope_version,viewer_key,catalog_generation,grade_code,title_core,source_host,source_path_shape,generic_grade_book,recortable,libro_integrado,monografia_estatal,constitucion_literal,educacion_fisica_literal,entidad_donde_vivo,material_alfabetizacion,fichero_didactico,conocimiento_medio,matematicas_literal,signal_signature
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P4ED318,2011,4,EDUCACIÓN FÍSCIA,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,1,0,0,0,0,0,educacion_fisica_literal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P5ED328,2011,5,EDUCACIÓN FÍSCIA,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,1,0,0,0,0,0,educacion_fisica_literal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P6ED338,2011,6,EDUCACIÓN FÍSCIA,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,1,0,0,0,0,0,educacion_fisica_literal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P1CAM,2014,1,"Material de apoyo a la alfabetización inicial, Tiras recortables y cartel con el alfabeto",historico.conaliteg.gob.mx,historico_root_viewer_htm,0,1,0,0,0,0,0,1,0,0,0,recortable+material_alfabetizacion
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P1EAM,2014,1,Fichero didactico (incluye DVD),historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,0,0,1,0,0,fichero_didactico
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P2EAM,2014,2,Fichero didactico (incluye DVD),historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,0,0,1,0,0,fichero_didactico
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3AGS,2014,3,La entidad donde vivo Aguascalientes,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3BCN,2014,3,La entidad donde vivo Baja California Norte,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3BCS,2014,3,La entidad donde vivo Baja California Sur,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3CAM,2014,3,La entidad donde vivo Campeche,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3CDM,2014,3,La entidad donde vivo Ciudad de México,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3CHH,2014,3,La entidad donde vivo Chihuahua,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3CHP,2014,3,La entidad donde vivo Chiapas,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3COA,2014,3,La entidad donde vivo Coahuila,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3COL,2014,3,La entidad donde vivo Colima,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3DUR,2014,3,La entidad donde vivo Durango,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3GRO,2014,3,La entidad donde vivo Guerrero,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3GTO,2014,3,La entidad donde vivo Guanajuato,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3HID,2014,3,La entidad donde vivo Hidalgo,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3JAL,2014,3,La entidad donde vivo Jalisco,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3MEX,2014,3,La entidad donde vivo México,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3MIC,2014,3,La entidad donde vivo Michoacán,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3MOR,2014,3,La entidad donde vivo Morelos,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3NAY,2014,3,La entidad donde vivo Nayarit,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3NLE,2014,3,La entidad donde vivo Nuevo León,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3OAX,2014,3,La entidad donde vivo Oaxaca,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3PUE,2014,3,La entidad donde vivo Puebla,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3QRO,2014,3,La entidad donde vivo Quintana Roo,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3QUE,2014,3,La entidad donde vivo Querétaro,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3SIN,2014,3,La entidad donde vivo Sinaloa,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3SLP,2014,3,La entidad donde vivo San Luis Potosí,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3SON,2014,3,La entidad donde vivo Sonora,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3TAB,2014,3,La entidad donde vivo Tabasco,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3TAM,2014,3,La entidad donde vivo Tamaulipas,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,1,0,0,0,0,entidad_donde_vivo
