audit_version,book_id,catalog_generation,grade,viewer_key,viewer_page,original_http_status,html_final_url,html_key_references,candidate_content_key,candidate_is_original,candidate_asset_url,candidate_reachable_image,candidate_http_status,candidate_content_type,html_error
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,34,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/034.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,34,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/034.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,35,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/035.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,35,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/035.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,36,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/036.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,36,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/036.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,37,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/037.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,37,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/037.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,38,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/038.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,38,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/038.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,39,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/039.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,39,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/039.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,40,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/040.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,40,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/040.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,41,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/041.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,41,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/041.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,42,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/042.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,42,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/042.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,43,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/043.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,43,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/043.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,44,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/044.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,44,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/044.jpg,1,206,image/jpeg,
